time,x,rho,u,P,e
0.0110471,-0.0252525,5.99924,19.5975,460.894,192.063
0.0110471,-0.0151515,5.99924,19.5975,460.894,192.063
0.0110471,-0.00505051,5.99924,19.5975,460.894,192.063
0.0110471,0.00505051,5.99924,19.5975,460.894,192.063
0.0110471,0.0151515,5.99924,19.5975,460.894,192.063
0.0110471,0.0252525,5.99924,19.5975,460.894,192.063
0.0110471,0.0353535,5.99924,19.5975,460.894,192.063
0.0110471,0.0454545,5.99924,19.5975,460.894,192.063
0.0110471,0.0555556,5.99924,19.5975,460.894,192.063
0.0110471,0.0656566,5.99924,19.5975,460.894,192.063
0.0110471,0.0757576,5.99924,19.5975,460.894,192.063
0.0110471,0.0858586,5.99924,19.5975,460.894,192.063
0.0110471,0.0959596,5.99924,19.5975,460.894,192.063
0.0110471,0.106061,5.99924,19.5975,460.894,192.063
0.0110471,0.116162,5.99924,19.5975,460.894,192.063
0.0110471,0.126263,5.99924,19.5975,460.894,192.063
0.0110471,0.136364,5.99924,19.5975,460.894,192.063
0.0110471,0.146465,5.99924,19.5975,460.894,192.063
0.0110471,0.156566,5.99924,19.5975,460.894,192.063
0.0110471,0.166667,5.99924,19.5975,460.894,192.063
0.0110471,0.176768,5.99924,19.5975,460.894,192.063
0.0110471,0.186869,5.99924,19.5975,460.894,192.063
0.0110471,0.19697,5.99924,19.5975,460.894,192.063
0.0110471,0.207071,5.99924,19.5975,460.894,192.063
0.0110471,0.217172,5.99924,19.5975,460.894,192.063
0.0110471,0.227273,5.99924,19.5975,460.894,192.063
0.0110471,0.237374,5.99924,19.5975,460.894,192.063
0.0110471,0.247475,5.99924,19.5975,460.894,192.063
0.0110471,0.257576,5.99924,19.5975,460.894,192.063
0.0110471,0.267677,5.99924,19.5975,460.894,192.063
0.0110471,0.277778,5.99924,19.5975,460.894,192.063
0.0110471,0.287879,5.99924,19.5975,460.894,192.063
0.0110471,0.29798,5.99924,19.5975,460.894,192.063
0.0110471,0.308081,5.99924,19.5975,460.894,192.063
0.0110471,0.318182,5.99924,19.5975,460.894,192.064
0.0110471,0.328283,5.99924,19.5975,460.894,192.063
0.0110471,0.338384,5.99924,19.5975,460.894,192.064
0.0110471,0.348485,5.99923,19.5975,460.896,192.065
0.0110471,0.358586,5.99938,19.5972,460.913,192.067
0.0110471,0.368687,6.00052,19.5952,461.035,192.081
0.0110471,0.378788,6.00847,19.5811,461.917,192.194
0.0110471,0.388889,6.06304,19.4786,468.381,193.13
0.0110471,0.39899,6.57802,18.5856,531.497,201.997
0.0110471,0.409091,9.05624,14.4773,868.161,239.658
0.0110471,0.419192,13.152,11.0361,1487.52,282.756
0.0110471,0.429293,13.4957,8.79615,1560.87,289.142
0.0110471,0.439394,13.26,8.34155,1557,293.552
0.0110471,0.449495,13.5496,8.70513,1626.46,300.093
0.0110471,0.459596,14.4,9.25211,1739.32,301.964
0.0110471,0.469697,15.1059,9.2545,1762.37,291.67
0.0110471,0.479798,15.4858,8.62009,1663.68,268.581
0.0110471,0.489899,16.7351,8.29634,1613.72,241.068
0.0110471,0.5,20.6915,8.50814,1662.01,200.808
0.0110471,0.510101,25.2735,8.78454,1725.56,170.688
0.0110471,0.520202,28.8005,8.90254,1752.29,152.106
0.0110471,0.530303,29.8432,8.56382,1655.26,138.663
0.0110471,0.540404,21.7866,5.1495,982.89,112.786
0.0110471,0.550505,7.72393,-4.06977,117.579,38.0567
0.0110471,0.560606,6.05447,-6.14,47.2512,19.5109
0.0110471,0.570707,5.99395,-6.19532,46.1148,19.2339
0.0110471,0.580808,5.99244,-6.19632,46.0954,19.2306
0.0110471,0.590909,5.99242,-6.19633,46.095,19.2305
0.0110471,0.60101,5.99242,-6.19633,46.095,19.2305
0.0110471,0.611111,5.99242,-6.19633,46.095,19.2305
0.0110471,0.621212,5.99242,-6.19633,46.095,19.2305
0.0110471,0.631313,5.99242,-6.19633,46.095,19.2305
0.0110471,0.641414,5.99242,-6.19633,46.095,19.2305
0.0110471,0.651515,5.99242,-6.19633,46.095,19.2305
0.0110471,0.661616,5.99242,-6.19633,46.095,19.2305
0.0110471,0.671717,5.99242,-6.19633,46.095,19.2305
0.0110471,0.681818,5.99242,-6.19633,46.095,19.2305
0.0110471,0.691919,5.99242,-6.19633,46.095,19.2305
0.0110471,0.70202,5.99242,-6.19633,46.095,19.2305
0.0110471,0.712121,5.99242,-6.19633,46.095,19.2305
0.0110471,0.722222,5.99242,-6.19633,46.095,19.2305
0.0110471,0.732323,5.99242,-6.19633,46.095,19.2305
0.0110471,0.742424,5.99242,-6.19633,46.095,19.2305
0.0110471,0.752525,5.99242,-6.19633,46.095,19.2305
0.0110471,0.762626,5.99242,-6.19633,46.095,19.2305
0.0110471,0.772727,5.99242,-6.19633,46.095,19.2305
0.0110471,0.782828,5.99242,-6.19633,46.095,19.2305
0.0110471,0.792929,5.99242,-6.19633,46.095,19.2305
0.0110471,0.80303,5.99242,-6.19633,46.095,19.2305
0.0110471,0.813131,5.99242,-6.19633,46.095,19.2305
0.0110471,0.823232,5.99242,-6.19633,46.095,19.2305
0.0110471,0.833333,5.99242,-6.19633,46.095,19.2305
0.0110471,0.843434,5.99242,-6.19633,46.095,19.2305
0.0110471,0.853535,5.99242,-6.19633,46.095,19.2305
0.0110471,0.863636,5.99242,-6.19633,46.095,19.2305
0.0110471,0.873737,5.99242,-6.19633,46.095,19.2305
0.0110471,0.883838,5.99242,-6.19633,46.095,19.2305
0.0110471,0.893939,5.99242,-6.19633,46.095,19.2305
0.0110471,0.90404,5.99242,-6.19633,46.095,19.2305
0.0110471,0.914141,5.99242,-6.19633,46.095,19.2305
0.0110471,0.924242,5.99242,-6.19633,46.095,19.2305
0.0110471,0.934343,5.99242,-6.19633,46.095,19.2305
0.0110471,0.944444,5.99242,-6.19633,46.095,19.2305
0.0110471,0.954545,5.99242,-6.19633,46.095,19.2305
0.0110471,0.964646,5.99242,-6.19633,46.095,19.2305
0.0110471,0.974747,5.99242,-6.19633,46.095,19.2305
0.0110471,0.984848,5.99242,-6.19633,46.095,19.2305
0.0110471,0.994949,5.99242,-6.19633,46.095,19.2305
0.0110471,1.00505,5.99242,-6.19633,46.095,19.2305
0.0110471,1.01515,5.99242,-6.19633,46.095,19.2305
0.0110471,1.02525,5.99242,-6.19633,46.095,19.2305
