time,x,rho,u,P,e
0.00243288,-0.0252525,5.99924,19.5975,460.894,192.063
0.00243288,-0.0151515,5.99924,19.5975,460.894,192.063
0.00243288,-0.00505051,5.99924,19.5975,460.894,192.063
0.00243288,0.00505051,5.99924,19.5975,460.894,192.063
0.00243288,0.0151515,5.99924,19.5975,460.894,192.063
0.00243288,0.0252525,5.99924,19.5975,460.894,192.063
0.00243288,0.0353535,5.99924,19.5975,460.894,192.063
0.00243288,0.0454545,5.99924,19.5975,460.894,192.063
0.00243288,0.0555556,5.99924,19.5975,460.894,192.063
0.00243288,0.0656566,5.99924,19.5975,460.894,192.063
0.00243288,0.0757576,5.99924,19.5975,460.894,192.063
0.00243288,0.0858586,5.99924,19.5975,460.894,192.063
0.00243288,0.0959596,5.99924,19.5975,460.894,192.063
0.00243288,0.106061,5.99924,19.5975,460.894,192.063
0.00243288,0.116162,5.99924,19.5975,460.894,192.063
0.00243288,0.126263,5.99924,19.5975,460.894,192.063
0.00243288,0.136364,5.99924,19.5975,460.894,192.063
0.00243288,0.146465,5.99924,19.5975,460.894,192.063
0.00243288,0.156566,5.99924,19.5975,460.894,192.063
0.00243288,0.166667,5.99924,19.5975,460.894,192.063
0.00243288,0.176768,5.99924,19.5975,460.894,192.063
0.00243288,0.186869,5.99924,19.5975,460.894,192.063
0.00243288,0.19697,5.99924,19.5975,460.894,192.063
0.00243288,0.207071,5.99924,19.5975,460.894,192.063
0.00243288,0.217172,5.99924,19.5975,460.894,192.063
0.00243288,0.227273,5.99924,19.5975,460.894,192.063
0.00243288,0.237374,5.99924,19.5975,460.894,192.063
0.00243288,0.247475,5.99924,19.5975,460.894,192.063
0.00243288,0.257576,5.99924,19.5975,460.894,192.063
0.00243288,0.267677,5.99924,19.5975,460.894,192.063
0.00243288,0.277778,5.99924,19.5975,460.894,192.063
0.00243288,0.287879,5.99924,19.5975,460.894,192.063
0.00243288,0.29798,5.99924,19.5975,460.894,192.063
0.00243288,0.308081,5.99924,19.5975,460.894,192.063
0.00243288,0.318182,5.99924,19.5975,460.894,192.063
0.00243288,0.328283,5.99924,19.5975,460.894,192.063
0.00243288,0.338384,5.99924,19.5975,460.894,192.063
0.00243288,0.348485,5.99924,19.5975,460.894,192.063
0.00243288,0.358586,5.99924,19.5975,460.894,192.063
0.00243288,0.368687,5.99924,19.5975,460.894,192.063
0.00243288,0.378788,5.99924,19.5975,460.894,192.063
0.00243288,0.388889,5.99924,19.5975,460.894,192.063
0.00243288,0.39899,5.99924,19.5975,460.894,192.063
0.00243288,0.409091,10.3469,10.7674,1221.98,295.254
0.00243288,0.419192,19.9671,10.1091,1985.44,248.59
0.00243288,0.429293,22.0024,7.20197,1463.12,166.245
0.00243288,0.439394,8.91388,-2.33353,197.731,55.456
0.00243288,0.449495,5.99242,-6.19633,46.095,19.2305
0.00243288,0.459596,5.99242,-6.19633,46.095,19.2305
0.00243288,0.469697,5.99242,-6.19633,46.095,19.2305
