time,x,rho,u,P,e
0.021956,-0.0252525,5.99924,19.5975,460.894,192.063
0.021956,-0.0151515,5.99924,19.5975,460.894,192.063
0.021956,-0.00505051,5.99924,19.5975,460.894,192.063
0.021956,0.00505051,5.99924,19.5975,460.894,192.063
0.021956,0.0151515,5.99924,19.5975,460.894,192.063
0.021956,0.0252525,5.99924,19.5975,460.894,192.063
0.021956,0.0353535,5.99924,19.5975,460.894,192.063
0.021956,0.0454545,5.99924,19.5975,460.894,192.063
0.021956,0.0555556,5.99924,19.5975,460.894,192.063
0.021956,0.0656566,5.99924,19.5975,460.894,192.063
0.021956,0.0757576,5.99924,19.5975,460.894,192.063
0.021956,0.0858586,5.99924,19.5975,460.894,192.063
0.021956,0.0959596,5.99924,19.5975,460.894,192.063
0.021956,0.106061,5.99924,19.5975,460.894,192.063
0.021956,0.116162,5.99924,19.5975,460.894,192.063
0.021956,0.126263,5.99924,19.5975,460.894,192.063
0.021956,0.136364,5.99924,19.5975,460.894,192.063
0.021956,0.146465,5.99924,19.5975,460.894,192.063
0.021956,0.156566,5.99924,19.5975,460.894,192.063
0.021956,0.166667,5.99924,19.5975,460.894,192.063
0.021956,0.176768,5.99924,19.5975,460.894,192.063
0.021956,0.186869,5.99924,19.5975,460.894,192.063
0.021956,0.19697,5.99924,19.5975,460.894,192.063
0.021956,0.207071,5.99924,19.5975,460.894,192.063
0.021956,0.217172,5.99924,19.5975,460.894,192.063
0.021956,0.227273,5.99924,19.5975,460.894,192.063
0.021956,0.237374,5.99924,19.5975,460.894,192.063
0.021956,0.247475,5.99924,19.5975,460.894,192.063
0.021956,0.257576,5.99924,19.5975,460.894,192.063
0.021956,0.267677,5.99924,19.5975,460.894,192.063
0.021956,0.277778,5.99924,19.5975,460.894,192.063
0.021956,0.287879,5.99924,19.5975,460.894,192.063
0.021956,0.29798,5.99924,19.5975,460.894,192.063
0.021956,0.308081,5.99924,19.5975,460.894,192.063
0.021956,0.318182,5.99924,19.5975,460.894,192.063
0.021956,0.328283,5.99924,19.5975,460.894,192.063
0.021956,0.338384,5.99924,19.5975,460.894,192.063
0.021956,0.348485,5.99924,19.5975,460.894,192.063
0.021956,0.358586,5.99924,19.5975,460.894,192.063
0.021956,0.368687,5.99924,19.5975,460.894,192.063
0.021956,0.378788,5.99924,19.5975,460.894,192.063
0.021956,0.388889,5.99924,19.5975,460.894,192.063
0.021956,0.39899,5.99924,19.5975,460.894,192.063
0.021956,0.409091,5.99924,19.5975,460.894,192.064
0.021956,0.419192,6.06992,19.4741,468.612,193.006
0.021956,0.429293,12.7518,10.0942,1447.15,283.716
0.021956,0.439394,14.2159,8.76969,1675.49,294.65
0.021956,0.449495,14.27,8.76657,1678.08,293.988
0.021956,0.459596,14.2936,8.76534,1680.52,293.93
0.021956,0.469697,14.2954,8.76487,1682.7,294.273
0.021956,0.479798,14.2912,8.76408,1684.5,294.675
0.021956,0.489899,14.2959,8.7622,1685.84,294.812
0.021956,0.5,14.3237,8.75887,1686.71,294.391
0.021956,0.510101,14.392,8.75419,1687.15,293.07
0.021956,0.520202,14.5261,8.74852,1687.27,290.386
0.021956,0.530303,14.7613,8.74234,1687.18,285.744
0.021956,0.540404,15.1414,8.73614,1686.98,278.537
0.021956,0.550505,15.7124,8.7303,1686.74,268.378
0.021956,0.560606,16.5118,8.7251,1686.54,255.353
0.021956,0.570707,17.5577,8.72069,1686.4,240.123
0.021956,0.580808,18.839,8.71707,1686.39,223.789
0.021956,0.590909,20.3126,8.71402,1686.47,207.565
0.021956,0.60101,21.906,8.71099,1686.5,192.47
0.021956,0.611111,23.5259,8.70588,1685.97,179.16
0.021956,0.621212,25.0665,8.69346,1683.56,167.909
0.021956,0.631313,26.4096,8.66141,1676.08,158.662
0.021956,0.641414,27.406,8.58192,1656.25,151.084
0.021956,0.651515,27.8227,8.39336,1608.5,144.531
0.021956,0.661616,27.2412,7.95987,1501.66,137.812
0.021956,0.671717,24.9351,6.98095,1281.33,128.467
0.021956,0.681818,19.9946,4.80252,885.091,110.666
0.021956,0.691919,12.6565,0.270167,361.316,71.3698
0.021956,0.70202,6.51324,-5.57606,60.0136,23.0352
0.021956,0.712121,5.99242,-6.19633,46.095,19.2305
0.021956,0.722222,5.99242,-6.19633,46.095,19.2305
0.021956,0.732323,5.99242,-6.19633,46.095,19.2305
0.021956,0.742424,5.99242,-6.19633,46.095,19.2305
0.021956,0.752525,5.99242,-6.19633,46.095,19.2305
0.021956,0.762626,5.99242,-6.19633,46.095,19.2305
0.021956,0.772727,5.99242,-6.19633,46.095,19.2305
0.021956,0.782828,5.99242,-6.19633,46.095,19.2305
0.021956,0.792929,5.99242,-6.19633,46.095,19.2305
0.021956,0.80303,5.99242,-6.19633,46.095,19.2305
0.021956,0.813131,5.99242,-6.19633,46.095,19.2305
0.021956,0.823232,5.99242,-6.19633,46.095,19.2305
0.021956,0.833333,5.99242,-6.19633,46.095,19.2305
0.021956,0.843434,5.99242,-6.19633,46.095,19.2305
0.021956,0.853535,5.99242,-6.19633,46.095,19.2305
0.021956,0.863636,5.99242,-6.19633,46.095,19.2305
0.021956,0.873737,5.99242,-6.19633,46.095,19.2305
0.021956,0.883838,5.99242,-6.19633,46.095,19.2305
0.021956,0.893939,5.99242,-6.19633,46.095,19.2305
0.021956,0.90404,5.99242,-6.19633,46.095,19.2305
0.021956,0.914141,5.99242,-6.19633,46.095,19.2305
0.021956,0.924242,5.99242,-6.19633,46.095,19.2305
0.021956,0.934343,5.99242,-6.19633,46.095,19.2305
0.021956,0.944444,5.99242,-6.19633,46.095,19.2305
0.021956,0.954545,5.99242,-6.19633,46.095,19.2305
0.021956,0.964646,5.99242,-6.19633,46.095,19.2305
0.021956,0.974747,5.99242,-6.19633,46.095,19.2305
0.021956,0.984848,5.99242,-6.19633,46.095,19.2305
0.021956,0.994949,5.99242,-6.19633,46.095,19.2305
0.021956,1.00505,5.99242,-6.19633,46.095,19.2305
0.021956,1.01515,5.99242,-6.19633,46.095,19.2305
0.021956,1.02525,5.99242,-6.19633,46.095,19.2305
