time,x,rho,u,P,e
0.0113022,-0.00501002,1,-2,0.4,1
0.0113022,-0.00300601,1,-2,0.4,1
0.0113022,-0.001002,1,-2,0.4,1
0.0113022,0.001002,1,-2,0.4,1
0.0113022,0.00300601,1,-2,0.4,1
0.0113022,0.00501002,1,-2,0.4,1
0.0113022,0.00701403,1,-2,0.4,1
0.0113022,0.00901804,1,-2,0.4,1
0.0113022,0.011022,1,-2,0.4,1
0.0113022,0.0130261,1,-2,0.4,1
0.0113022,0.0150301,1,-2,0.4,1
0.0113022,0.0170341,1,-2,0.4,1
0.0113022,0.0190381,1,-2,0.4,1
0.0113022,0.0210421,1,-2,0.4,1
0.0113022,0.0230461,1,-2,0.4,1
0.0113022,0.0250501,1,-2,0.4,1
0.0113022,0.0270541,1,-2,0.4,1
0.0113022,0.0290581,1,-2,0.4,1
0.0113022,0.0310621,1,-2,0.4,1
0.0113022,0.0330661,1,-2,0.4,1
0.0113022,0.0350701,1,-2,0.4,1
0.0113022,0.0370741,1,-2,0.4,1
0.0113022,0.0390782,1,-2,0.4,1
0.0113022,0.0410822,1,-2,0.4,1
0.0113022,0.0430862,1,-2,0.4,1
0.0113022,0.0450902,1,-2,0.4,1
0.0113022,0.0470942,1,-2,0.4,1
0.0113022,0.0490982,1,-2,0.4,1
0.0113022,0.0511022,1,-2,0.4,1
0.0113022,0.0531062,1,-2,0.4,1
0.0113022,0.0551102,1,-2,0.4,1
0.0113022,0.0571142,1,-2,0.4,1
0.0113022,0.0591182,1,-2,0.4,1
0.0113022,0.0611222,1,-2,0.4,1
0.0113022,0.0631263,1,-2,0.4,1
0.0113022,0.0651303,1,-2,0.4,1
0.0113022,0.0671343,1,-2,0.4,1
0.0113022,0.0691383,1,-2,0.4,1
0.0113022,0.0711423,1,-2,0.4,1
0.0113022,0.0731463,1,-2,0.4,1
0.0113022,0.0751503,1,-2,0.4,1
0.0113022,0.0771543,1,-2,0.4,1
0.0113022,0.0791583,1,-2,0.4,1
0.0113022,0.0811623,1,-2,0.4,1
0.0113022,0.0831663,1,-2,0.4,1
