time,x,rho,u,P,e
0.11574,-0.0125628,1,0.75,1,2.5
0.11574,-0.00753769,1,0.75,1,2.5
0.11574,-0.00251256,1,0.75,1,2.5
0.11574,0.00251256,1,0.75,1,2.5
0.11574,0.00753769,1,0.75,1,2.5
0.11574,0.0125628,1,0.75,1,2.5
0.11574,0.0175879,1,0.75,1,2.5
0.11574,0.0226131,1,0.75,1,2.5
0.11574,0.0276382,1,0.75,1,2.5
0.11574,0.0326633,1,0.75,1,2.5
0.11574,0.0376884,1,0.75,1,2.5
0.11574,0.0427136,1,0.75,1,2.5
0.11574,0.0477387,1,0.75,1,2.5
0.11574,0.0527638,1,0.75,1,2.5
0.11574,0.0577889,1,0.75,1,2.5
0.11574,0.0628141,1,0.75,1,2.5
0.11574,0.0678392,1,0.75,1,2.5
0.11574,0.0728643,1,0.75,1,2.5
0.11574,0.0778894,1,0.75,1,2.5
0.11574,0.0829146,1,0.75,1,2.5
0.11574,0.0879397,1,0.75,1,2.5
0.11574,0.0929648,1,0.75,1,2.5
0.11574,0.0979899,1,0.75,1,2.5
0.11574,0.103015,1,0.75,1,2.5
0.11574,0.10804,1,0.75,1,2.5
0.11574,0.113065,1,0.75,1,2.5
0.11574,0.11809,1,0.75,1,2.5
0.11574,0.123116,1,0.75,1,2.5
0.11574,0.128141,1,0.75,1,2.5
0.11574,0.133166,1,0.75,1,2.5
0.11574,0.138191,1,0.75,1,2.5
0.11574,0.143216,1,0.75,1,2.5
0.11574,0.148241,1,0.75,1,2.5
0.11574,0.153266,1,0.75,1,2.5
0.11574,0.158291,1,0.75,1,2.5
0.11574,0.163317,1,0.75,1,2.5
0.11574,0.168342,1,0.75,1,2.5
0.11574,0.173367,1,0.75,1,2.5
0.11574,0.178392,1,0.75,1,2.5
0.11574,0.183417,1,0.75,1,2.5
0.11574,0.188442,1,0.749998,1,2.5
0.11574,0.193467,1,0.749993,1.00001,2.5
0.11574,0.198492,1.00001,0.749988,1.00002,2.50001
0.11574,0.203518,1.00001,0.749988,1.00002,2.50001
0.11574,0.208543,1.00001,0.749989,1.00002,2.50001
0.11574,0.213568,0.999982,0.74999,0.999974,2.49998
0.11574,0.218593,0.999924,0.750071,0.999911,2.49997
0.11574,0.223618,0.999937,0.750403,0.999733,2.49949
0.11574,0.228643,0.998661,0.750915,0.998628,2.49992
0.11574,0.233668,0.998661,0.75277,0.996574,2.49477
0.11574,0.238693,0.992105,0.757051,0.992321,2.50055
0.11574,0.243719,0.991184,0.764294,0.983106,2.47962
0.11574,0.248744,0.976368,0.776458,0.968181,2.47904
0.11574,0.253769,0.960135,0.795333,0.947897,2.46813
0.11574,0.258794,0.945523,0.819617,0.921715,2.43705
0.11574,0.263819,0.921173,0.84745,0.889889,2.4151
0.11574,0.268844,0.892175,0.878341,0.856025,2.3987
0.11574,0.273869,0.869396,0.912474,0.822846,2.36614
0.11574,0.278894,0.847868,0.947573,0.790458,2.33072
0.11574,0.28392,0.819648,0.982463,0.75638,2.30703
0.11574,0.288945,0.792831,1.01459,0.724067,2.28317
0.11574,0.29397,0.767634,1.04961,0.692199,2.25433
0.11574,0.298995,0.742605,1.08903,0.661577,2.22722
0.11574,0.30402,0.721027,1.133,0.630508,2.18615
0.11574,0.309045,0.708794,1.15736,0.611223,2.15586
0.11574,0.31407,0.680729,1.1842,0.582245,2.13831
0.11574,0.319095,0.651877,1.21043,0.556742,2.13515
0.11574,0.324121,0.638507,1.24728,0.540791,2.11741
0.11574,0.329146,0.636172,1.28624,0.527916,2.07458
0.11574,0.334171,0.6237,1.30721,0.507099,2.03262
0.11574,0.339196,0.598892,1.31484,0.483891,2.01994
0.11574,0.344221,0.583623,1.33151,0.474681,2.03334
0.11574,0.349246,0.58339,1.3531,0.474722,2.03433
0.11574,0.354271,0.583489,1.35931,0.473647,2.02938
0.11574,0.359296,0.583489,1.35936,0.46911,2.00993
0.11574,0.364322,0.581967,1.35913,0.466781,2.00519
0.11574,0.369347,0.581404,1.3583,0.466563,2.00619
0.11574,0.374372,0.581313,1.35829,0.466563,2.0065
0.11574,0.379397,0.581333,1.35831,0.466592,2.00656
0.11574,0.384422,0.580347,1.35864,0.467823,2.01527
0.11574,0.389447,0.578696,1.3587,0.468436,2.02367
0.11574,0.394472,0.578483,1.3587,0.468573,2.02501
0.11574,0.399497,0.578409,1.35748,0.468574,2.02527
0.11574,0.404523,0.578409,1.35674,0.468542,2.02513
0.11574,0.409548,0.584078,1.35634,0.468507,2.00532
0.11574,0.414573,0.593042,1.35609,0.468507,1.97501
0.11574,0.419598,0.600746,1.35604,0.46879,1.95087
0.11574,0.424623,0.604711,1.35603,0.469185,1.93971
0.11574,0.429648,0.605078,1.35603,0.469584,1.94018
0.11574,0.434673,0.605078,1.35534,0.469992,1.94187
0.11574,0.439698,0.597523,1.354,0.4703,1.96771
0.11574,0.444724,0.551967,1.35295,0.470815,2.13244
0.11574,0.449749,0.504023,1.35217,0.471441,2.33839
0.11574,0.454774,0.461076,1.35112,0.471841,2.55837
0.11574,0.459799,0.426053,1.34978,0.471985,2.76952
0.11574,0.464824,0.399547,1.34895,0.472248,2.9549
0.11574,0.469849,0.380388,1.34885,0.472766,3.10713
0.11574,0.474874,0.366907,1.34885,0.473414,3.2257
0.11574,0.479899,0.357759,1.34969,0.474407,3.31513
0.11574,0.484925,0.351565,1.35168,0.475485,3.3812
0.11574,0.48995,0.347071,1.35196,0.47562,3.42596
0.11574,0.494975,0.343937,1.35196,0.47562,3.45718
0.11574,0.5,0.341343,1.3498,0.475143,3.47996
0.11574,0.505025,0.339754,1.34031,0.46984,3.45721
0.11574,0.51005,0.33947,1.33912,0.469255,3.45579
0.11574,0.515075,0.33947,1.33912,0.469255,3.45579
0.11574,0.520101,0.34343,1.34101,0.470004,3.4214
0.11574,0.525126,0.3539,1.37619,0.486183,3.43447
0.11574,0.530151,0.355509,1.38191,0.489041,3.43902
0.11574,0.535176,0.355509,1.38191,0.489041,3.43902
0.11574,0.540201,0.345806,1.34438,0.467262,3.37807
