time,x,rho,u,P,e
0.0139941,-0.0252525,5.99924,19.5975,460.894,192.063
0.0139941,-0.0151515,5.99924,19.5975,460.894,192.063
0.0139941,-0.00505051,5.99924,19.5975,460.894,192.063
0.0139941,0.00505051,5.99924,19.5975,460.894,192.063
0.0139941,0.0151515,5.99924,19.5975,460.894,192.063
0.0139941,0.0252525,5.99924,19.5975,460.894,192.063
0.0139941,0.0353535,5.99924,19.5975,460.894,192.063
0.0139941,0.0454545,5.99924,19.5975,460.894,192.063
0.0139941,0.0555556,5.99924,19.5975,460.894,192.063
0.0139941,0.0656566,5.99924,19.5975,460.894,192.063
0.0139941,0.0757576,5.99924,19.5975,460.894,192.063
0.0139941,0.0858586,5.99924,19.5975,460.894,192.063
0.0139941,0.0959596,5.99924,19.5975,460.894,192.063
0.0139941,0.106061,5.99924,19.5975,460.894,192.063
0.0139941,0.116162,5.99924,19.5975,460.894,192.063
0.0139941,0.126263,5.99924,19.5975,460.894,192.063
0.0139941,0.136364,5.99924,19.5975,460.894,192.063
0.0139941,0.146465,5.99924,19.5975,460.894,192.063
0.0139941,0.156566,5.99924,19.5975,460.894,192.063
0.0139941,0.166667,5.99924,19.5975,460.894,192.063
0.0139941,0.176768,5.99924,19.5975,460.894,192.063
0.0139941,0.186869,5.99924,19.5975,460.894,192.063
0.0139941,0.19697,5.99924,19.5975,460.894,192.063
0.0139941,0.207071,5.99924,19.5975,460.894,192.063
0.0139941,0.217172,5.99924,19.5975,460.894,192.063
0.0139941,0.227273,5.99924,19.5975,460.894,192.063
0.0139941,0.237374,5.99924,19.5975,460.894,192.063
0.0139941,0.247475,5.99924,19.5975,460.894,192.063
0.0139941,0.257576,5.99924,19.5975,460.894,192.063
0.0139941,0.267677,5.99924,19.5975,460.894,192.063
0.0139941,0.277778,5.99924,19.5975,460.894,192.063
0.0139941,0.287879,5.99924,19.5975,460.894,192.063
0.0139941,0.29798,5.99924,19.5975,460.894,192.063
0.0139941,0.308081,5.99924,19.5975,460.894,192.063
0.0139941,0.318182,5.99924,19.5975,460.894,192.063
0.0139941,0.328283,5.99924,19.5975,460.894,192.063
0.0139941,0.338384,5.99924,19.5975,460.894,192.063
0.0139941,0.348485,5.99924,19.5975,460.894,192.063
0.0139941,0.358586,5.99924,19.5975,460.894,192.063
0.0139941,0.368687,5.99924,19.5975,460.894,192.063
0.0139941,0.378788,5.99924,19.5975,460.894,192.063
0.0139941,0.388889,5.99924,19.5975,460.894,192.063
0.0139941,0.39899,5.99924,19.5975,460.894,192.063
0.0139941,0.409091,6.00102,19.5944,461.086,192.086
0.0139941,0.419192,12.5476,10.5159,1399.76,278.89
0.0139941,0.429293,13.626,8.77726,1651.5,303.004
0.0139941,0.439394,13.9907,8.73802,1645.01,293.948
0.0139941,0.449495,14.4812,8.77015,1658.99,286.403
0.0139941,0.459596,14.6889,8.82409,1681.33,286.157
0.0139941,0.469697,14.4511,8.84723,1696.44,293.48
0.0139941,0.479798,13.9746,8.80802,1699.44,304.024
0.0139941,0.489899,13.7918,8.73938,1696.88,307.59
0.0139941,0.5,14.1913,8.67949,1695.15,298.624
0.0139941,0.510101,15.7695,8.6732,1704.98,270.297
0.0139941,0.520202,19.2095,8.69102,1719.17,223.739
0.0139941,0.530303,23.6506,8.6566,1714.76,181.259
0.0139941,0.540404,27.5488,8.63608,1696.74,153.976
0.0139941,0.550505,30.0599,8.65882,1683.15,139.983
0.0139941,0.560606,30.7283,8.63804,1667.28,135.647
0.0139941,0.570707,28.0725,7.96521,1495.31,133.165
0.0139941,0.580808,15.3551,2.69019,608.341,99.0454
0.0139941,0.590909,6.04359,-6.13849,47.2588,19.5491
0.0139941,0.60101,5.99242,-6.19633,46.095,19.2305
0.0139941,0.611111,5.99242,-6.19633,46.095,19.2305
0.0139941,0.621212,5.99242,-6.19633,46.095,19.2305
0.0139941,0.631313,5.99242,-6.19633,46.095,19.2305
0.0139941,0.641414,5.99242,-6.19633,46.095,19.2305
0.0139941,0.651515,5.99242,-6.19633,46.095,19.2305
0.0139941,0.661616,5.99242,-6.19633,46.095,19.2305
0.0139941,0.671717,5.99242,-6.19633,46.095,19.2305
0.0139941,0.681818,5.99242,-6.19633,46.095,19.2305
0.0139941,0.691919,5.99242,-6.19633,46.095,19.2305
0.0139941,0.70202,5.99242,-6.19633,46.095,19.2305
0.0139941,0.712121,5.99242,-6.19633,46.095,19.2305
0.0139941,0.722222,5.99242,-6.19633,46.095,19.2305
0.0139941,0.732323,5.99242,-6.19633,46.095,19.2305
0.0139941,0.742424,5.99242,-6.19633,46.095,19.2305
0.0139941,0.752525,5.99242,-6.19633,46.095,19.2305
0.0139941,0.762626,5.99242,-6.19633,46.095,19.2305
0.0139941,0.772727,5.99242,-6.19633,46.095,19.2305
0.0139941,0.782828,5.99242,-6.19633,46.095,19.2305
0.0139941,0.792929,5.99242,-6.19633,46.095,19.2305
0.0139941,0.80303,5.99242,-6.19633,46.095,19.2305
0.0139941,0.813131,5.99242,-6.19633,46.095,19.2305
0.0139941,0.823232,5.99242,-6.19633,46.095,19.2305
0.0139941,0.833333,5.99242,-6.19633,46.095,19.2305
0.0139941,0.843434,5.99242,-6.19633,46.095,19.2305
0.0139941,0.853535,5.99242,-6.19633,46.095,19.2305
0.0139941,0.863636,5.99242,-6.19633,46.095,19.2305
0.0139941,0.873737,5.99242,-6.19633,46.095,19.2305
0.0139941,0.883838,5.99242,-6.19633,46.095,19.2305
0.0139941,0.893939,5.99242,-6.19633,46.095,19.2305
0.0139941,0.90404,5.99242,-6.19633,46.095,19.2305
0.0139941,0.914141,5.99242,-6.19633,46.095,19.2305
0.0139941,0.924242,5.99242,-6.19633,46.095,19.2305
0.0139941,0.934343,5.99242,-6.19633,46.095,19.2305
0.0139941,0.944444,5.99242,-6.19633,46.095,19.2305
0.0139941,0.954545,5.99242,-6.19633,46.095,19.2305
0.0139941,0.964646,5.99242,-6.19633,46.095,19.2305
0.0139941,0.974747,5.99242,-6.19633,46.095,19.2305
0.0139941,0.984848,5.99242,-6.19633,46.095,19.2305
0.0139941,0.994949,5.99242,-6.19633,46.095,19.2305
0.0139941,1.00505,5.99242,-6.19633,46.095,19.2305
0.0139941,1.01515,5.99242,-6.19633,46.095,19.2305
0.0139941,1.02525,5.99242,-6.19633,46.095,19.2305
