time,x,rho,u,P,e
0.00598183,-0.0100402,1,0,1000,2500
0.00598183,-0.0060241,1,0,1000,2500
0.00598183,-0.00200803,1,0,1000,2500
0.00598183,0.00200803,1,0,1000,2500
0.00598183,0.0060241,1,0,1000,2500
0.00598183,0.0100402,1,0,1000,2500
0.00598183,0.0140562,1,0,1000,2500
0.00598183,0.0180723,1,0,1000,2500
0.00598183,0.0220884,1,0,1000,2500
0.00598183,0.0261044,1,0,1000,2500
0.00598183,0.0301205,1,2.96186e-15,1000,2500
0.00598183,0.0341365,1,6.41726e-15,1000,2500
0.00598183,0.0381526,1,2.36944e-14,1000,2500
0.00598183,0.0421687,1,5.92359e-14,1000,2500
0.00598183,0.0461847,1,1.62405e-13,1000,2500
0.00598183,0.0502008,1,4.19093e-13,1000,2500
0.00598183,0.0542169,1,1.05193e-12,1000,2500
0.00598183,0.0582329,1,2.60784e-12,1000,2500
0.00598183,0.062249,1,6.3609e-12,1000,2500
0.00598183,0.0662651,1,1.53148e-11,1000,2500
0.00598183,0.0702811,1,3.63651e-11,1000,2500
0.00598183,0.0742972,1,8.51982e-11,1000,2500
0.00598183,0.0783133,1,1.96919e-10,1000,2500
0.00598183,0.0823293,1,4.49022e-10,1000,2500
0.00598183,0.0863454,1,1.00996e-09,1000,2500
0.00598183,0.0903614,1,2.24065e-09,1000,2500
0.00598183,0.0943775,1,4.90282e-09,1000,2500
0.00598183,0.0983936,1,1.05801e-08,1000,2500
0.00598183,0.10241,1,2.25148e-08,1000,2500
0.00598183,0.106426,1,4.72447e-08,1000,2500
0.00598183,0.110442,1,9.77479e-08,1000,2500
0.00598183,0.114458,1,1.99387e-07,1000,2500
0.00598183,0.118474,1,4.00944e-07,1000,2500
0.00598183,0.12249,1,7.94755e-07,1000,2500
0.00598183,0.126506,1,1.55277e-06,1000,2500
0.00598183,0.130522,1,2.98995e-06,1000,2500
0.00598183,0.134538,1,5.67371e-06,1000,2500
0.00598183,0.138554,1,1.0609e-05,1000,2500
0.00598183,0.14257,0.999999,1.95455e-05,999.999,2500
0.00598183,0.146586,0.999999,3.54764e-05,999.999,2500
0.00598183,0.150602,0.999998,6.34321e-05,999.998,2500
0.00598183,0.154618,0.999997,0.000111715,999.996,2500
0.00598183,0.158635,0.999995,0.000193778,999.993,2499.99
0.00598183,0.162651,0.999991,0.000331008,999.988,2499.99
0.00598183,0.166667,0.999985,0.000556762,999.979,2499.99
0.00598183,0.170683,0.999975,0.000922044,999.966,2499.98
0.00598183,0.174699,0.99996,0.00150327,999.944,2499.96
0.00598183,0.178715,0.999936,0.00241259,999.91,2499.94
0.00598183,0.182731,0.999898,0.00381105,999.857,2499.9
0.00598183,0.186747,0.999842,0.00592491,999.778,2499.84
0.00598183,0.190763,0.999758,0.00906478,999.661,2499.76
0.00598183,0.194779,0.999635,0.0136471,999.489,2499.64
0.00598183,0.198795,0.99946,0.0202167,999.244,2499.46
0.00598183,0.202811,0.999213,0.0294683,998.898,2499.21
0.00598183,0.206827,0.998871,0.0422647,998.42,2498.87
0.00598183,0.210843,0.998407,0.0596481,997.77,2498.41
0.00598183,0.214859,0.997787,0.082842,996.904,2497.79
0.00598183,0.218876,0.996976,0.11324,995.77,2496.98
0.00598183,0.222892,0.995933,0.152383,994.312,2495.93
0.00598183,0.226908,0.994613,0.201915,992.469,2494.61
0.00598183,0.230924,0.992973,0.263535,990.18,2492.97
0.00598183,0.23494,0.990969,0.338936,987.385,2490.96
0.00598183,0.238956,0.988559,0.429735,984.029,2488.54
0.00598183,0.242972,0.985707,0.537413,980.061,2485.68
0.00598183,0.246988,0.982382,0.663254,975.441,2482.34
0.00598183,0.251004,0.978559,0.808305,970.138,2478.49
0.00598183,0.25502,0.974223,0.973341,964.135,2474.11
0.00598183,0.259036,0.969366,1.15886,957.424,2469.2
0.00598183,0.263052,0.963989,1.36506,950.012,2463.75
0.00598183,0.267068,0.958101,1.5919,941.915,2457.77
0.00598183,0.271084,0.951715,1.83909,933.159,2451.26
0.00598183,0.2751,0.944854,2.10612,923.777,2444.23
0.00598183,0.279116,0.937542,2.39233,913.812,2436.72
0.00598183,0.283133,0.929809,2.69691,903.308,2428.74
0.00598183,0.287149,0.921687,3.01898,892.313,2420.33
0.00598183,0.291165,0.913207,3.35757,880.878,2411.5
0.00598183,0.295181,0.904405,3.71169,869.053,2402.28
0.00598183,0.299197,0.895312,4.08035,856.887,2392.71
0.00598183,0.303213,0.885961,4.46255,844.429,2382.81
0.00598183,0.307229,0.876384,4.85731,831.724,2372.6
0.00598183,0.311245,0.86661,5.26371,818.817,2362.13
0.00598183,0.315261,0.856668,5.68085,805.748,2351.4
0.00598183,0.319277,0.846585,6.10786,792.554,2340.44
0.00598183,0.323293,0.836385,6.54396,779.272,2329.29
0.00598183,0.327309,0.826091,6.98838,765.933,2317.95
0.00598183,0.331325,0.815724,7.4404,752.568,2306.44
0.00598183,0.335341,0.805305,7.89936,739.203,2294.79
0.00598183,0.339357,0.794852,8.36461,725.863,2283.01
0.00598183,0.343373,0.784381,8.83555,712.57,2271.12
0.00598183,0.34739,0.773909,9.31161,699.347,2259.14
0.00598183,0.351406,0.763451,9.79224,686.211,2247.07
0.00598183,0.355422,0.753019,10.2769,673.18,2234.94
0.00598183,0.359438,0.742628,10.765,660.271,2222.75
0.00598183,0.363454,0.732291,11.2561,647.499,2210.53
0.00598183,0.36747,0.72202,11.7496,634.88,2198.28
0.00598183,0.371486,0.711827,12.2448,622.427,2186.02
0.00598183,0.375502,0.701727,12.7413,610.155,2173.76
0.00598183,0.379518,0.691731,13.2383,598.079,2161.53
0.00598183,0.383534,0.681854,13.7351,586.215,2149.34
0.00598183,0.38755,0.672113,14.2308,574.579,2137.21
0.00598183,0.391566,0.662525,14.7243,563.191,2125.17
0.00598183,0.395582,0.65311,15.2145,552.073,2113.24
0.00598183,0.399598,0.643894,15.7,541.249,2101.47
0.00598183,0.403614,0.634904,16.1789,530.75,2089.88
0.00598183,0.407631,0.626176,16.6492,520.612,2078.54
0.00598183,0.411647,0.617751,17.1081,510.879,2067.5
0.00598183,0.415663,0.609681,17.5525,501.605,2056.83
0.00598183,0.419679,0.602027,17.9783,492.854,2046.64
0.00598183,0.423695,0.594862,18.3809,484.702,2037.03
0.00598183,0.427711,0.58827,18.7548,477.237,2028.14
0.00598183,0.431727,0.582343,19.0937,470.555,2020.09
0.00598183,0.435743,0.577176,19.3913,464.753,2013.05
0.00598183,0.439759,0.572851,19.6419,459.916,2007.14
0.00598183,0.443775,0.569422,19.8413,456.098,2002.46
0.00598183,0.447791,0.5669,19.9883,453.302,1999.04
0.00598183,0.451807,0.565229,20.0853,451.464,1996.82
0.00598183,0.455823,0.564293,20.139,450.45,1995.64
0.00598183,0.459839,0.563931,20.1586,450.078,1995.27
0.00598183,0.463855,0.563962,20.1549,450.148,1995.47
0.00598183,0.467871,0.564226,20.1372,450.479,1996
0.00598183,0.471888,0.5646,20.113,450.935,1996.7
0.00598183,0.475904,0.565003,20.087,451.426,1997.45
0.00598183,0.47992,0.565393,20.0616,451.905,1998.19
0.00598183,0.483936,0.565751,20.0379,452.351,1998.89
0.00598183,0.487952,0.566073,20.0163,452.758,1999.56
0.00598183,0.491968,0.566359,19.9967,453.129,2000.19
0.00598183,0.495984,0.566613,19.9788,453.467,2000.78
0.00598183,0.5,0.566838,19.9625,453.776,2001.35
0.00598183,0.504016,0.567036,19.9475,454.059,2001.89
0.00598183,0.508032,0.567212,19.9336,454.32,2002.43
0.00598183,0.512048,0.567365,19.9208,454.562,2002.95
0.00598183,0.516064,0.567499,19.9089,454.787,2003.47
0.00598183,0.52008,0.567614,19.8978,454.997,2003.99
0.00598183,0.524096,0.567711,19.8874,455.193,2004.51
0.00598183,0.528112,0.567791,19.8776,455.377,2005.04
0.00598183,0.532129,0.567854,19.8684,455.551,2005.58
0.00598183,0.536145,0.567902,19.8597,455.714,2006.13
0.00598183,0.540161,0.567944,19.8515,455.869,2006.66
0.00598183,0.544177,0.568001,19.8437,456.015,2007.11
0.00598183,0.548193,0.568133,19.8363,456.154,2007.25
0.00598183,0.552209,0.568475,19.8292,456.286,2006.62
0.00598183,0.556225,0.569322,19.8225,456.412,2004.19
0.00598183,0.560241,0.571244,19.8161,456.532,1997.98
0.00598183,0.564257,0.575279,19.81,456.647,1984.46
0.00598183,0.568273,0.583169,19.8041,456.758,1958.09
0.00598183,0.572289,0.597628,19.7985,456.866,1911.17
0.00598183,0.576305,0.622588,19.7931,456.973,1834.97
0.00598183,0.580321,0.663332,19.7879,457.08,1722.67
0.00598183,0.584337,0.726425,19.783,457.191,1573.43
0.00598183,0.588353,0.819354,19.7782,457.309,1395.34
0.00598183,0.592369,0.949843,19.7736,457.44,1203.99
0.00598183,0.596386,1.12488,19.7692,457.589,1016.97
0.00598183,0.600402,1.34957,19.765,457.761,847.973
0.00598183,0.604418,1.62604,19.7607,457.951,704.087
0.00598183,0.608434,1.95246,19.7556,458.115,586.588
0.00598183,0.61245,2.32242,19.7467,458.125,493.155
0.00598183,0.616466,2.72438,19.7266,457.636,419.945
0.00598183,0.620482,3.14054,19.6795,455.825,362.855
0.00598183,0.624498,3.54441,19.5746,450.987,318.097
0.00598183,0.628514,3.89615,19.3552,439.972,282.312
0.00598183,0.63253,4.13579,18.9214,417.548,252.399
0.00598183,0.636546,4.17763,18.1005,376.196,225.125
0.00598183,0.640562,3.91834,16.5968,307.751,196.353
0.00598183,0.644578,3.2874,13.9282,209.955,159.667
0.00598183,0.648594,2.36976,9.51262,100.229,105.737
0.00598183,0.65261,1.51495,3.82974,22.5965,37.2891
0.00598183,0.656627,1.09419,0.447015,1.0678,2.43969
0.00598183,0.660643,1.00703,0.00709368,0.0131897,0.0327441
0.00598183,0.664659,1.00006,7.96662e-06,0.0100009,0.0250008
0.00598183,0.668675,1,3.26669e-09,0.01,0.025
0.00598183,0.672691,1,1.33354e-12,0.01,0.025
0.00598183,0.676707,1,5.44087e-16,0.01,0.025
0.00598183,0.680723,1,2.03375e-19,0.01,0.025
0.00598183,0.684739,1,0,0.01,0.025
0.00598183,0.688755,1,0,0.01,0.025
0.00598183,0.692771,1,0,0.01,0.025
0.00598183,0.696787,1,0,0.01,0.025
0.00598183,0.700803,1,0,0.01,0.025
0.00598183,0.704819,1,0,0.01,0.025
0.00598183,0.708835,1,0,0.01,0.025
0.00598183,0.712851,1,0,0.01,0.025
0.00598183,0.716867,1,0,0.01,0.025
0.00598183,0.720884,1,0,0.01,0.025
0.00598183,0.7249,1,0,0.01,0.025
0.00598183,0.728916,1,0,0.01,0.025
0.00598183,0.732932,1,0,0.01,0.025
0.00598183,0.736948,1,0,0.01,0.025
0.00598183,0.740964,1,0,0.01,0.025
0.00598183,0.74498,1,0,0.01,0.025
0.00598183,0.748996,1,0,0.01,0.025
0.00598183,0.753012,1,0,0.01,0.025
0.00598183,0.757028,1,0,0.01,0.025
0.00598183,0.761044,1,0,0.01,0.025
0.00598183,0.76506,1,0,0.01,0.025
