time,x,rho,u,P,e
0.19686,-0.0125628,1,0.75,1,2.5
0.19686,-0.00753769,1,0.75,1,2.5
0.19686,-0.00251256,1,0.75,1,2.5
0.19686,0.00251256,1,0.75,1,2.5
0.19686,0.00753769,1,0.75,1,2.5
0.19686,0.0125628,1,0.75,1,2.5
0.19686,0.0175879,1,0.75,1,2.5
0.19686,0.0226131,1,0.75,1,2.5
0.19686,0.0276382,1,0.75,1,2.5
0.19686,0.0326633,1,0.75,1,2.5
0.19686,0.0376884,1,0.75,1,2.5
0.19686,0.0427136,1,0.75,1,2.5
0.19686,0.0477387,1,0.75,1,2.5
0.19686,0.0527638,1,0.75,1,2.5
0.19686,0.0577889,1,0.75,1,2.5
0.19686,0.0628141,1,0.75,1,2.5
0.19686,0.0678392,1,0.75,1,2.5
0.19686,0.0728643,1,0.75,1,2.5
0.19686,0.0778894,1,0.75,1,2.5
0.19686,0.0829146,1,0.75,1,2.5
0.19686,0.0879397,1,0.75,1,2.5
0.19686,0.0929648,1,0.75,1,2.5
0.19686,0.0979899,1,0.75,1,2.5
0.19686,0.103015,1,0.75,1,2.5
0.19686,0.10804,1,0.75,1,2.5
0.19686,0.113065,1,0.75,1,2.5
0.19686,0.11809,1,0.75,1,2.5
0.19686,0.123116,1,0.75,1,2.5
0.19686,0.128141,1,0.75,1,2.5
0.19686,0.133166,1,0.75,1,2.5
0.19686,0.138191,1,0.75,1,2.5
0.19686,0.143216,1,0.749999,1,2.5
0.19686,0.148241,1,0.749997,1,2.5
0.19686,0.153266,1,0.749997,1,2.5
0.19686,0.158291,1,0.749997,1,2.5
0.19686,0.163317,1,0.749998,1,2.5
0.19686,0.168342,0.999993,0.750006,0.999997,2.50001
0.19686,0.173367,0.999994,0.750024,0.999963,2.49992
0.19686,0.178392,0.999873,0.7501,0.999881,2.50002
0.19686,0.183417,0.999877,0.750297,0.999666,2.49947
0.19686,0.188442,0.999102,0.750736,0.999121,2.50005
0.19686,0.193467,0.999028,0.751701,0.997967,2.49735
0.19686,0.198492,0.99672,0.753625,0.995742,2.49755
0.19686,0.203518,0.993621,0.757027,0.991737,2.49526
0.19686,0.208543,0.990353,0.762531,0.985225,2.48705
0.19686,0.213568,0.982245,0.770726,0.975716,2.48338
0.19686,0.218593,0.97251,0.78184,0.96298,2.4755
0.19686,0.223618,0.962959,0.795678,0.947207,2.45911
0.19686,0.228643,0.949375,0.811806,0.929047,2.44647
0.19686,0.233668,0.933225,0.829703,0.90939,2.43615
0.19686,0.238693,0.918815,0.84879,0.888886,2.41857
0.19686,0.243719,0.905161,0.868561,0.867923,2.39715
0.19686,0.248744,0.888613,0.888735,0.846853,2.38252
0.19686,0.253769,0.870889,0.909228,0.826059,2.37131
0.19686,0.258794,0.85599,0.929919,0.805664,2.35302
0.19686,0.263819,0.843066,0.950638,0.785581,2.32953
0.19686,0.268844,0.827693,0.971271,0.765763,2.31295
0.19686,0.273869,0.810698,0.992129,0.746195,2.30109
0.19686,0.278894,0.795233,1.013,0.72731,2.28647
0.19686,0.28392,0.781955,1.03396,0.708883,2.26638
0.19686,0.288945,0.769215,1.05401,0.69143,2.24719
0.19686,0.29397,0.753492,1.07652,0.671954,2.22947
0.19686,0.298995,0.737941,1.09786,0.653989,2.21559
0.19686,0.30402,0.719725,1.12583,0.631597,2.19388
0.19686,0.309045,0.712116,1.13885,0.621658,2.18243
0.19686,0.31407,0.699222,1.15834,0.6063,2.16777
0.19686,0.319095,0.686872,1.17784,0.591001,2.15106
0.19686,0.324121,0.675421,1.19725,0.576716,2.13466
