time,x,rho,u,P,e
0.0151521,-0.0252525,5.99924,19.5975,460.894,192.063
0.0151521,-0.0151515,5.99924,19.5975,460.894,192.063
0.0151521,-0.00505051,5.99924,19.5975,460.894,192.063
0.0151521,0.00505051,5.99924,19.5975,460.894,192.063
0.0151521,0.0151515,5.99924,19.5975,460.894,192.063
0.0151521,0.0252525,5.99924,19.5975,460.894,192.063
0.0151521,0.0353535,5.99924,19.5975,460.894,192.063
0.0151521,0.0454545,5.99924,19.5975,460.894,192.063
0.0151521,0.0555556,5.99924,19.5975,460.894,192.063
0.0151521,0.0656566,5.99924,19.5975,460.894,192.063
0.0151521,0.0757576,5.99924,19.5975,460.894,192.063
0.0151521,0.0858586,5.99924,19.5975,460.894,192.063
0.0151521,0.0959596,5.99924,19.5975,460.894,192.063
0.0151521,0.106061,5.99924,19.5975,460.894,192.063
0.0151521,0.116162,5.99924,19.5975,460.894,192.063
0.0151521,0.126263,5.99924,19.5975,460.894,192.063
0.0151521,0.136364,5.99924,19.5975,460.894,192.063
0.0151521,0.146465,5.99924,19.5975,460.894,192.063
0.0151521,0.156566,5.99924,19.5975,460.894,192.063
0.0151521,0.166667,5.99924,19.5975,460.894,192.063
0.0151521,0.176768,5.99924,19.5975,460.894,192.063
0.0151521,0.186869,5.99924,19.5975,460.894,192.063
0.0151521,0.19697,5.99924,19.5975,460.894,192.063
0.0151521,0.207071,5.99924,19.5975,460.894,192.063
0.0151521,0.217172,5.99924,19.5975,460.894,192.063
0.0151521,0.227273,5.99924,19.5975,460.894,192.063
0.0151521,0.237374,5.99924,19.5975,460.894,192.063
0.0151521,0.247475,5.99924,19.5975,460.894,192.063
0.0151521,0.257576,5.99924,19.5975,460.894,192.063
0.0151521,0.267677,5.99924,19.5975,460.894,192.063
0.0151521,0.277778,5.99924,19.5975,460.894,192.063
0.0151521,0.287879,5.99924,19.5975,460.894,192.063
0.0151521,0.29798,5.99924,19.5975,460.894,192.063
0.0151521,0.308081,5.99924,19.5975,460.894,192.063
0.0151521,0.318182,5.99924,19.5975,460.894,192.064
0.0151521,0.328283,5.99924,19.5975,460.894,192.063
0.0151521,0.338384,5.99924,19.5975,460.894,192.063
0.0151521,0.348485,5.99923,19.5975,460.895,192.064
0.0151521,0.358586,5.99932,19.5973,460.906,192.066
0.0151521,0.368687,6.00005,19.5961,460.984,192.075
0.0151521,0.378788,6.00486,19.5877,461.506,192.138
0.0151521,0.388889,6.03676,19.5315,465.028,192.582
0.0151521,0.39899,6.24597,19.1719,488.442,195.503
0.0151521,0.409091,7.8033,16.5172,691.874,221.661
0.0151521,0.419192,10.9348,11.2458,1160.12,265.236
0.0151521,0.429293,13.8282,9.77293,1607.24,290.572
0.0151521,0.439394,14.7769,9.46112,1756.57,297.181
0.0151521,0.449495,14.245,8.75909,1671.1,293.279
0.0151521,0.459596,13.6553,8.20494,1584.83,290.15
0.0151521,0.469697,13.6784,8.27766,1609.63,294.193
0.0151521,0.479798,14.1226,8.74328,1702.49,301.377
0.0151521,0.489899,14.6741,9.16926,1785.08,304.121
0.0151521,0.5,14.9515,9.07322,1767.81,295.591
0.0151521,0.510101,14.9288,8.46837,1651.01,276.481
0.0151521,0.520202,15.753,8.32308,1622.39,257.473
0.0151521,0.530303,19.1059,8.7058,1699.43,222.37
0.0151521,0.540404,22.9851,8.79275,1721.47,187.237
0.0151521,0.550505,26.3794,8.65647,1689.97,160.16
0.0151521,0.560606,29.4184,8.62051,1680.64,142.822
0.0151521,0.570707,31.146,8.58835,1671.05,134.13
0.0151521,0.580808,30.0174,8.36637,1596.16,132.936
0.0151521,0.590909,21.1592,5.63974,1063.91,125.703
0.0151521,0.60101,7.97822,-3.54062,146.912,46.0353
0.0151521,0.611111,6.06718,-6.12215,47.6489,19.6339
0.0151521,0.621212,5.9943,-6.19505,46.1202,19.235
0.0151521,0.631313,5.99245,-6.19632,46.0954,19.2306
0.0151521,0.641414,5.99242,-6.19633,46.095,19.2305
