time,x,rho,u,P,e
0.035,-0.0252525,5.99924,19.5975,460.894,192.063
0.035,-0.0151515,5.99924,19.5975,460.894,192.063
0.035,-0.00505051,5.99924,19.5975,460.894,192.063
0.035,0.00505051,5.99924,19.5975,460.894,192.063
0.035,0.0151515,5.99924,19.5975,460.894,192.063
0.035,0.0252525,5.99924,19.5975,460.894,192.063
0.035,0.0353535,5.99924,19.5975,460.894,192.063
0.035,0.0454545,5.99924,19.5975,460.894,192.063
0.035,0.0555556,5.99924,19.5975,460.894,192.063
0.035,0.0656566,5.99924,19.5975,460.894,192.063
0.035,0.0757576,5.99924,19.5975,460.894,192.063
0.035,0.0858586,5.99924,19.5975,460.894,192.063
0.035,0.0959596,5.99924,19.5975,460.894,192.063
0.035,0.106061,5.99924,19.5975,460.894,192.063
0.035,0.116162,5.99924,19.5975,460.894,192.063
0.035,0.126263,5.99924,19.5975,460.894,192.063
0.035,0.136364,5.99924,19.5975,460.894,192.063
0.035,0.146465,5.99924,19.5975,460.894,192.063
0.035,0.156566,5.99924,19.5975,460.894,192.063
0.035,0.166667,5.99924,19.5975,460.894,192.063
0.035,0.176768,5.99924,19.5975,460.894,192.063
0.035,0.186869,5.99924,19.5975,460.894,192.063
0.035,0.19697,5.99924,19.5975,460.894,192.063
0.035,0.207071,5.99924,19.5975,460.894,192.063
0.035,0.217172,5.99924,19.5975,460.894,192.063
0.035,0.227273,5.99924,19.5975,460.894,192.063
0.035,0.237374,5.99924,19.5975,460.894,192.063
0.035,0.247475,5.99924,19.5975,460.894,192.063
0.035,0.257576,5.99924,19.5975,460.894,192.063
0.035,0.267677,5.99924,19.5975,460.894,192.063
0.035,0.277778,5.99924,19.5975,460.894,192.063
0.035,0.287879,5.99924,19.5975,460.894,192.063
0.035,0.29798,5.99924,19.5975,460.894,192.063
0.035,0.308081,5.99924,19.5975,460.894,192.063
0.035,0.318182,5.99924,19.5975,460.894,192.063
0.035,0.328283,5.99924,19.5975,460.894,192.063
0.035,0.338384,5.99924,19.5975,460.894,192.063
0.035,0.348485,5.99924,19.5975,460.894,192.063
0.035,0.358586,5.99924,19.5975,460.894,192.063
0.035,0.368687,5.99924,19.5975,460.894,192.063
0.035,0.378788,5.99924,19.5975,460.894,192.063
0.035,0.388889,5.99924,19.5975,460.894,192.063
0.035,0.39899,5.99924,19.5975,460.894,192.063
0.035,0.409091,5.99924,19.5975,460.894,192.063
0.035,0.419192,5.99924,19.5975,460.894,192.063
0.035,0.429293,6.12929,19.374,475.321,193.873
0.035,0.439394,14.1637,8.85151,1656.9,292.455
0.035,0.449495,14.5848,8.69792,1717.31,294.367
0.035,0.459596,14.5698,8.75845,1720.79,295.267
0.035,0.469697,14.4604,8.77176,1713.69,296.273
0.035,0.479798,14.3174,8.73348,1698.17,296.523
0.035,0.489899,14.1877,8.67952,1683.11,296.578
0.035,0.5,14.1304,8.66859,1678.99,297.053
0.035,0.510101,14.1451,8.68613,1682.52,297.369
0.035,0.520202,14.2086,8.71436,1689.27,297.226
0.035,0.530303,14.2956,8.73634,1695.3,296.472
0.035,0.540404,14.3835,8.74521,1698.76,295.262
0.035,0.550505,14.4525,8.74104,1699.42,293.965
0.035,0.560606,14.4781,8.72355,1697.16,293.057
0.035,0.570707,14.434,8.68908,1691.2,292.92
0.035,0.580808,14.2783,8.63656,1681.33,294.384
0.035,0.590909,14.0973,8.59162,1672.52,296.603
0.035,0.60101,14.0137,8.5772,1669.36,297.809
0.035,0.611111,14.0835,8.60235,1673.65,297.093
0.035,0.621212,14.3118,8.66916,1685.82,294.48
0.035,0.631313,14.473,8.72906,1696.9,293.114
0.035,0.641414,14.4416,8.74029,1699.1,294.133
0.035,0.651515,14.3158,8.71471,1694.67,295.946
0.035,0.661616,14.2403,8.67257,1687.44,296.244
0.035,0.671717,14.321,8.6442,1682.81,293.766
0.035,0.681818,14.788,8.64793,1684.02,284.693
0.035,0.691919,16.0248,8.70047,1694.23,264.313
0.035,0.70202,18.5618,8.76815,1708.14,230.061
0.035,0.712121,22.7084,8.76237,1707.44,187.975
0.035,0.722222,27.0503,8.72103,1697.31,156.866
0.035,0.732323,29.8354,8.70578,1693.09,141.87
0.035,0.742424,30.808,8.70949,1693.85,137.452
0.035,0.752525,30.9939,8.71147,1694.13,136.65
0.035,0.762626,30.9047,8.70548,1692.99,136.952
0.035,0.772727,30.7001,8.68743,1688.93,137.535
0.035,0.782828,30.589,8.67708,1686.88,137.866
0.035,0.792929,30.6204,8.67368,1686.93,137.729
0.035,0.80303,30.7027,8.67087,1686.39,137.316
0.035,0.813131,30.7573,8.65057,1681.38,136.665
0.035,0.823232,30.1822,8.43673,1624.53,134.561
0.035,0.833333,24.135,6.41455,1174.49,121.659
0.035,0.843434,8.82823,-2.57076,182.288,51.6209
0.035,0.853535,5.99242,-6.19633,46.095,19.2305
0.035,0.863636,5.99242,-6.19633,46.095,19.2305
0.035,0.873737,5.99242,-6.19633,46.095,19.2305
0.035,0.883838,5.99242,-6.19633,46.095,19.2305
0.035,0.893939,5.99242,-6.19633,46.095,19.2305
0.035,0.90404,5.99242,-6.19633,46.095,19.2305
0.035,0.914141,5.99242,-6.19633,46.095,19.2305
0.035,0.924242,5.99242,-6.19633,46.095,19.2305
0.035,0.934343,5.99242,-6.19633,46.095,19.2305
0.035,0.944444,5.99242,-6.19633,46.095,19.2305
0.035,0.954545,5.99242,-6.19633,46.095,19.2305
0.035,0.964646,5.99242,-6.19633,46.095,19.2305
0.035,0.974747,5.99242,-6.19633,46.095,19.2305
0.035,0.984848,5.99242,-6.19633,46.095,19.2305
0.035,0.994949,5.99242,-6.19633,46.095,19.2305
0.035,1.00505,5.99242,-6.19633,46.095,19.2305
0.035,1.01515,5.99242,-6.19633,46.095,19.2305
0.035,1.02525,5.99242,-6.19633,46.095,19.2305
