time,x,rho,u,P,e
0.035,-0.0252525,8.84368,11.4827,4636.4,1310.65
0.035,-0.0151515,8.84368,11.4827,4636.4,1310.65
0.035,-0.00505051,8.84368,11.4827,4636.4,1310.65
0.035,0.00505051,8.84368,11.4827,4636.4,1310.65
0.035,0.0151515,8.84764,11.4856,4635.7,1309.87
0.035,0.0252525,8.85749,11.4993,4632.41,1307.49
0.035,0.0353535,8.88059,11.5201,4627.43,1302.68
0.035,0.0454545,8.92533,11.5453,4621.36,1294.45
0.035,0.0555556,9.00065,11.5733,4614.61,1281.74
0.035,0.0656566,9.11514,11.6027,4607.43,1263.67
0.035,0.0757576,9.27591,11.6327,4599.99,1239.77
0.035,0.0858586,9.48728,11.6628,4592.38,1210.14
0.035,0.0959596,9.74952,11.6924,4584.61,1175.6
0.035,0.106061,10.0579,11.7214,4576.7,1137.59
0.035,0.116162,10.4024,11.7493,4568.58,1097.97
0.035,0.126263,10.7678,11.776,4560.22,1058.77
0.035,0.136364,11.1355,11.801,4551.53,1021.85
0.035,0.146465,11.4859,11.824,4542.38,988.687
0.035,0.156566,11.8009,11.8443,4532.63,960.229
0.035,0.166667,12.0669,11.8609,4522.02,936.865
0.035,0.176768,12.2763,11.8725,4510.23,918.487
0.035,0.186869,12.4274,11.8774,4496.78,904.612
0.035,0.19697,12.5236,11.873,4481.03,894.517
0.035,0.207071,12.5711,11.8563,4462.1,887.371
0.035,0.217172,12.5769,11.8231,4438.84,882.338
0.035,0.227273,12.5471,11.7678,4409.77,878.646
0.035,0.237374,12.4855,11.6835,4372.98,875.614
0.035,0.247475,12.3936,11.5616,4326.1,872.646
0.035,0.257576,12.2705,11.3913,4266.23,869.202
0.035,0.267677,12.1132,11.1594,4189.95,864.746
0.035,0.277778,11.9176,10.8511,4093.49,858.706
0.035,0.287879,11.6798,10.4515,3973.28,850.456
0.035,0.29798,11.3991,9.95049,3827.5,839.427
0.035,0.308081,11.0821,9.354,3659.28,825.494
0.035,0.318182,10.748,8.70036,3481.22,809.732
