time,x,rho,u,P,e
0.035,-0.0252525,5.99924,19.5975,460.894,192.063
0.035,-0.0151515,5.99924,19.5975,460.894,192.063
0.035,-0.00505051,5.99924,19.5975,460.894,192.063
0.035,0.00505051,5.99924,19.5975,460.894,192.063
0.035,0.0151515,5.99924,19.5975,460.894,192.063
0.035,0.0252525,5.99924,19.5975,460.894,192.063
0.035,0.0353535,5.99924,19.5975,460.894,192.063
0.035,0.0454545,5.99924,19.5975,460.894,192.063
0.035,0.0555556,5.99924,19.5975,460.894,192.063
0.035,0.0656566,5.99924,19.5975,460.894,192.063
0.035,0.0757576,5.99924,19.5975,460.894,192.063
0.035,0.0858586,5.99924,19.5975,460.894,192.063
0.035,0.0959596,5.99924,19.5975,460.894,192.063
0.035,0.106061,5.99924,19.5975,460.894,192.063
0.035,0.116162,5.99924,19.5975,460.894,192.063
0.035,0.126263,5.99924,19.5975,460.894,192.063
0.035,0.136364,5.99924,19.5975,460.894,192.063
0.035,0.146465,5.99924,19.5975,460.894,192.063
0.035,0.156566,5.99924,19.5975,460.894,192.063
0.035,0.166667,5.99924,19.5975,460.894,192.063
0.035,0.176768,5.99924,19.5975,460.894,192.063
0.035,0.186869,5.99924,19.5975,460.894,192.063
0.035,0.19697,5.99924,19.5975,460.894,192.063
0.035,0.207071,5.99924,19.5975,460.894,192.063
0.035,0.217172,5.99924,19.5975,460.894,192.063
0.035,0.227273,5.99924,19.5975,460.894,192.063
0.035,0.237374,5.99924,19.5975,460.894,192.063
0.035,0.247475,5.99924,19.5975,460.894,192.063
0.035,0.257576,5.99924,19.5975,460.894,192.063
0.035,0.267677,5.99924,19.5975,460.894,192.063
0.035,0.277778,5.99924,19.5975,460.894,192.063
0.035,0.287879,5.99924,19.5975,460.894,192.063
0.035,0.29798,5.99924,19.5975,460.894,192.063
0.035,0.308081,5.99924,19.5975,460.894,192.063
0.035,0.318182,5.99924,19.5975,460.894,192.063
0.035,0.328283,5.99924,19.5975,460.894,192.063
0.035,0.338384,5.99924,19.5975,460.894,192.063
0.035,0.348485,5.99924,19.5975,460.894,192.063
0.035,0.358586,5.99924,19.5975,460.894,192.063
0.035,0.368687,5.99924,19.5975,460.894,192.063
0.035,0.378788,5.99924,19.5975,460.894,192.063
0.035,0.388889,5.99924,19.5975,460.894,192.063
0.035,0.39899,5.99924,19.5975,460.894,192.063
0.035,0.409091,5.99924,19.5975,460.894,192.063
0.035,0.419192,5.99924,19.5975,460.894,192.063
0.035,0.429293,6.06394,19.4854,467.961,192.928
0.035,0.439394,13.5653,9.31191,1574,290.078
0.035,0.449495,14.391,8.70688,1693.21,294.143
0.035,0.459596,14.4194,8.72168,1697.09,294.237
0.035,0.469697,14.4239,8.74003,1701.44,294.9
0.035,0.479798,14.4081,8.74759,1703.58,295.594
0.035,0.489899,14.3657,8.74773,1704.02,296.543
0.035,0.5,14.304,8.74497,1703.56,297.742
0.035,0.510101,14.2762,8.73715,1701.93,298.035
0.035,0.520202,14.2787,8.7206,1698.56,297.393
0.035,0.530303,14.2847,8.69064,1692.63,296.23
0.035,0.540404,14.2808,8.65065,1684.8,294.941
0.035,0.550505,14.2819,8.63326,1681.14,294.278
0.035,0.560606,14.2786,8.63222,1680.45,294.226
0.035,0.570707,14.2683,8.63772,1681,294.535
0.035,0.580808,14.2567,8.6524,1683.27,295.171
0.035,0.590909,14.2522,8.67495,1687.03,295.925
0.035,0.60101,14.2547,8.68867,1689.29,296.269
0.035,0.611111,14.2598,8.69303,1689.98,296.284
0.035,0.621212,14.2737,8.69325,1690.08,296.013
0.035,0.631313,14.3089,8.69189,1690,295.271
0.035,0.641414,14.3847,8.68915,1689.7,293.661
0.035,0.651515,14.5366,8.68741,1689.58,290.572
0.035,0.661616,14.8207,8.68701,1689.74,285.03
0.035,0.671717,15.3205,8.68832,1690.19,275.804
0.035,0.681818,16.155,8.69273,1691.18,261.711
0.035,0.691919,17.4685,8.70184,1693.21,242.323
0.035,0.70202,19.4026,8.71709,1696.74,218.623
0.035,0.712121,22.0398,8.72781,1699.54,192.781
0.035,0.722222,25.2052,8.7289,1700.21,168.636
0.035,0.732323,27.6346,8.72587,1699.84,153.779
0.035,0.742424,29.1094,8.71732,1697.69,145.803
0.035,0.752525,29.941,8.69958,1693.29,141.386
0.035,0.762626,30.3856,8.68048,1688.54,138.926
0.035,0.772727,30.6406,8.67362,1686.91,137.637
0.035,0.782828,30.7795,8.67253,1686.52,136.984
0.035,0.792929,30.8483,8.67116,1686.23,136.655
0.035,0.80303,30.861,8.66256,1684.14,136.43
0.035,0.813131,30.7282,8.6082,1669.66,135.841
0.035,0.823232,29.6966,8.29755,1587.9,133.677
0.035,0.833333,24.6655,6.62503,1212.65,122.909
0.035,0.843434,11.5865,-0.143935,334.248,72.1204
0.035,0.853535,5.99242,-6.19633,46.095,19.2305
0.035,0.863636,5.99242,-6.19633,46.095,19.2305
0.035,0.873737,5.99242,-6.19633,46.095,19.2305
0.035,0.883838,5.99242,-6.19633,46.095,19.2305
0.035,0.893939,5.99242,-6.19633,46.095,19.2305
0.035,0.90404,5.99242,-6.19633,46.095,19.2305
0.035,0.914141,5.99242,-6.19633,46.095,19.2305
0.035,0.924242,5.99242,-6.19633,46.095,19.2305
0.035,0.934343,5.99242,-6.19633,46.095,19.2305
0.035,0.944444,5.99242,-6.19633,46.095,19.2305
0.035,0.954545,5.99242,-6.19633,46.095,19.2305
0.035,0.964646,5.99242,-6.19633,46.095,19.2305
0.035,0.974747,5.99242,-6.19633,46.095,19.2305
0.035,0.984848,5.99242,-6.19633,46.095,19.2305
0.035,0.994949,5.99242,-6.19633,46.095,19.2305
0.035,1.00505,5.99242,-6.19633,46.095,19.2305
0.035,1.01515,5.99242,-6.19633,46.095,19.2305
0.035,1.02525,5.99242,-6.19633,46.095,19.2305
