time,x,rho,u,P,e
0.035,-0.0252525,5.99924,19.5975,460.894,192.063
0.035,-0.0151515,5.99924,19.5975,460.894,192.063
0.035,-0.00505051,5.99924,19.5975,460.894,192.063
0.035,0.00505051,5.99924,19.5975,460.894,192.063
0.035,0.0151515,5.99924,19.5975,460.894,192.063
0.035,0.0252525,5.99924,19.5975,460.894,192.063
0.035,0.0353535,5.99924,19.5975,460.894,192.063
0.035,0.0454545,5.99924,19.5975,460.894,192.063
0.035,0.0555556,5.99924,19.5975,460.894,192.063
0.035,0.0656566,5.99924,19.5975,460.894,192.063
0.035,0.0757576,5.99924,19.5975,460.894,192.063
0.035,0.0858586,5.99924,19.5975,460.894,192.063
0.035,0.0959596,5.99924,19.5975,460.894,192.063
0.035,0.106061,5.99924,19.5975,460.894,192.063
0.035,0.116162,5.99924,19.5975,460.894,192.063
0.035,0.126263,5.99924,19.5975,460.894,192.063
0.035,0.136364,5.99924,19.5975,460.894,192.063
0.035,0.146465,5.99924,19.5975,460.894,192.063
0.035,0.156566,5.99924,19.5975,460.894,192.063
0.035,0.166667,5.99924,19.5975,460.894,192.063
0.035,0.176768,5.99924,19.5975,460.894,192.063
0.035,0.186869,5.99924,19.5975,460.894,192.063
0.035,0.19697,5.99924,19.5975,460.894,192.063
0.035,0.207071,5.99924,19.5975,460.894,192.063
0.035,0.217172,5.99924,19.5975,460.894,192.063
0.035,0.227273,5.99924,19.5975,460.894,192.063
0.035,0.237374,5.99924,19.5975,460.894,192.063
0.035,0.247475,5.99924,19.5975,460.894,192.063
0.035,0.257576,5.99924,19.5975,460.894,192.063
0.035,0.267677,5.99924,19.5975,460.894,192.063
0.035,0.277778,5.99924,19.5975,460.894,192.063
0.035,0.287879,5.99924,19.5975,460.894,192.063
0.035,0.29798,5.99924,19.5975,460.894,192.063
0.035,0.308081,5.99924,19.5975,460.894,192.063
0.035,0.318182,5.99924,19.5975,460.894,192.063
0.035,0.328283,5.99924,19.5975,460.894,192.063
0.035,0.338384,5.99924,19.5975,460.894,192.063
0.035,0.348485,5.99924,19.5975,460.894,192.063
0.035,0.358586,5.99924,19.5975,460.894,192.063
0.035,0.368687,5.99924,19.5975,460.894,192.063
0.035,0.378788,5.99924,19.5975,460.894,192.063
0.035,0.388889,5.99924,19.5975,460.894,192.063
0.035,0.39899,5.99924,19.5975,460.894,192.063
0.035,0.409091,5.99924,19.5975,460.894,192.063
0.035,0.419192,5.99924,19.5975,460.894,192.063
0.035,0.429293,6.11394,19.4118,472.566,193.233
0.035,0.439394,13.9252,9.14368,1610.09,289.06
0.035,0.449495,14.4981,8.76187,1706.12,294.197
0.035,0.459596,14.4344,8.76549,1704.46,295.208
0.035,0.469697,14.3535,8.74365,1700.83,296.24
0.035,0.479798,14.2919,8.71634,1695.99,296.67
0.035,0.489899,14.249,8.70459,1693.82,297.183
0.035,0.5,14.229,8.69477,1691.84,297.252
0.035,0.510101,14.2293,8.68863,1690.72,297.049
0.035,0.520202,14.2431,8.68454,1689.81,296.602
0.035,0.530303,14.2768,8.67814,1688.9,295.743
0.035,0.540404,14.2978,8.66953,1687.22,295.014
0.035,0.550505,14.2996,8.66417,1686.4,294.833
0.035,0.560606,14.2906,8.66172,1685.74,294.904
0.035,0.570707,14.2702,8.66368,1685.46,295.275
0.035,0.580808,14.2484,8.66885,1686.33,295.88
0.035,0.590909,14.239,8.67687,1687.54,296.288
0.035,0.60101,14.2403,8.68226,1688.46,296.423
0.035,0.611111,14.2475,8.68554,1689.24,296.409
0.035,0.621212,14.2634,8.68705,1689.52,296.128
0.035,0.631313,14.2987,8.68757,1689.65,295.419
0.035,0.641414,14.3723,8.6877,1689.69,293.916
0.035,0.651515,14.5174,8.6878,1689.84,291.003
0.035,0.661616,14.7916,8.68867,1690.22,285.673
0.035,0.671717,15.2863,8.69133,1690.96,276.548
0.035,0.681818,16.1284,8.69646,1692.18,262.297
0.035,0.691919,17.4666,8.70417,1693.91,242.45
0.035,0.70202,19.4397,8.71356,1695.97,218.106
0.035,0.712121,22.1305,8.72264,1698.02,191.82
0.035,0.722222,25.3334,8.72836,1699.62,167.726
0.035,0.732323,27.7244,8.72771,1699.8,153.276
0.035,0.742424,29.177,8.71989,1698.17,145.506
0.035,0.752525,29.9901,8.70152,1693.49,141.171
0.035,0.762626,30.4227,8.6836,1688.69,138.769
0.035,0.772727,30.6585,8.6726,1685.87,137.472
0.035,0.782828,30.7823,8.66818,1685.05,136.852
0.035,0.792929,30.8304,8.66463,1684.41,136.587
0.035,0.80303,30.8406,8.65692,1682.36,136.375
0.035,0.813131,30.7224,8.60883,1669.51,135.854
0.035,0.823232,29.7918,8.32607,1595.68,133.903
0.035,0.833333,24.7755,6.71728,1219.79,123.085
0.035,0.843434,10.9857,-0.653456,290.974,66.2163
0.035,0.853535,5.99242,-6.19633,46.095,19.2305
0.035,0.863636,5.99242,-6.19633,46.095,19.2305
0.035,0.873737,5.99242,-6.19633,46.095,19.2305
0.035,0.883838,5.99242,-6.19633,46.095,19.2305
0.035,0.893939,5.99242,-6.19633,46.095,19.2305
0.035,0.90404,5.99242,-6.19633,46.095,19.2305
0.035,0.914141,5.99242,-6.19633,46.095,19.2305
0.035,0.924242,5.99242,-6.19633,46.095,19.2305
0.035,0.934343,5.99242,-6.19633,46.095,19.2305
0.035,0.944444,5.99242,-6.19633,46.095,19.2305
0.035,0.954545,5.99242,-6.19633,46.095,19.2305
0.035,0.964646,5.99242,-6.19633,46.095,19.2305
0.035,0.974747,5.99242,-6.19633,46.095,19.2305
0.035,0.984848,5.99242,-6.19633,46.095,19.2305
0.035,0.994949,5.99242,-6.19633,46.095,19.2305
0.035,1.00505,5.99242,-6.19633,46.095,19.2305
0.035,1.01515,5.99242,-6.19633,46.095,19.2305
0.035,1.02525,5.99242,-6.19633,46.095,19.2305
