time,x,rho,u,P,e
0.2,-0.0100402,1,0.75,1,2.5
0.2,-0.0060241,1,0.75,1,2.5
0.2,-0.00200803,1,0.75,1,2.5
0.2,0.00200803,1,0.75,1,2.5
0.2,0.0060241,1,0.75,1,2.5
0.2,0.0100402,1,0.75,1,2.5
0.2,0.0140562,1,0.75,1,2.5
0.2,0.0180723,1,0.75,1,2.5
0.2,0.0220884,1,0.75,1,2.5
0.2,0.0261044,1,0.75,1,2.5
0.2,0.0301205,1,0.75,1,2.5
0.2,0.0341365,1,0.75,1,2.5
0.2,0.0381526,1,0.75,1,2.5
0.2,0.0421687,1,0.75,1,2.5
0.2,0.0461847,1,0.75,1,2.5
0.2,0.0502008,1,0.75,1,2.5
0.2,0.0542169,1,0.75,1,2.5
0.2,0.0582329,1,0.75,1,2.5
0.2,0.062249,1,0.75,1,2.5
0.2,0.0662651,1,0.75,1,2.5
0.2,0.0702811,1,0.75,1,2.5
0.2,0.0742972,1,0.75,1,2.5
0.2,0.0783133,1,0.75,1,2.5
0.2,0.0823293,1,0.75,1,2.5
0.2,0.0863454,1,0.75,1,2.5
0.2,0.0903614,1,0.75,1,2.5
0.2,0.0943775,1,0.75,1,2.5
0.2,0.0983936,1,0.75,1,2.5
0.2,0.10241,1,0.75,1,2.5
0.2,0.106426,1,0.75,1,2.5
0.2,0.110442,1,0.75,1,2.5
0.2,0.114458,1,0.75,1,2.5
0.2,0.118474,1,0.75,1,2.5
0.2,0.12249,1,0.75,1,2.5
0.2,0.126506,1,0.75,1,2.5
0.2,0.130522,1,0.75,1,2.5
0.2,0.134538,1,0.75,1,2.5
0.2,0.138554,1,0.75,1,2.5
0.2,0.14257,1,0.75,1,2.5
0.2,0.146586,1,0.75,1,2.5
0.2,0.150602,1,0.75,1,2.5
0.2,0.154618,1,0.749999,1,2.5
0.2,0.158635,1,0.749999,1,2.5
0.2,0.162651,1,0.749999,1,2.5
0.2,0.166667,0.999999,0.75,1,2.5
0.2,0.170683,0.999997,0.750004,0.999995,2.49999
0.2,0.174699,0.999987,0.750017,0.99998,2.49998
0.2,0.178715,0.999948,0.750051,0.999939,2.49998
0.2,0.182731,0.999906,0.750137,0.999838,2.49983
0.2,0.186747,0.999688,0.750333,0.999606,2.4998
0.2,0.190763,0.999391,0.750751,0.999112,2.4993
0.2,0.194779,0.998667,0.751577,0.998136,2.49867
