x,rho,u,P,e
0.00251256,1,0.75,1,2.5
0.00753769,1,0.75,1,2.5
0.0125628,1,0.75,1,2.5
0.0175879,1,0.75,1,2.5
0.0226131,1,0.75,1,2.5
0.0276382,1,0.75,1,2.5
0.0326633,1,0.75,1,2.5
0.0376884,1,0.75,1,2.5
0.0427136,1,0.75,1,2.5
0.0477387,1,0.75,1,2.5
0.0527638,1,0.75,1,2.5
0.0577889,1,0.75,1,2.5
0.0628141,1,0.75,1,2.5
0.0678392,1,0.75,1,2.5
0.0728643,1,0.75,1,2.5
0.0778894,1,0.75,1,2.5
0.0829146,1,0.75,1,2.5
0.0879397,1,0.75,1,2.5
0.0929648,1,0.75,1,2.5
0.0979899,1,0.75,1,2.5
0.103015,1,0.75,1,2.5
0.10804,1,0.75,1,2.5
0.113065,1,0.75,1,2.5
0.11809,1,0.75,1,2.5
0.123116,1,0.75,1,2.5
0.128141,1,0.75,1,2.5
0.133166,1,0.75,1,2.5
0.138191,1,0.75,1,2.5
0.143216,1,0.75,1,2.5
0.148241,1,0.75,1,2.5
0.153266,1,0.75,1,2.5
0.158291,1,0.75,1,2.5
0.163317,1,0.75,1,2.5
0.168342,1,0.75,1,2.5
0.173367,1,0.75,1,2.5
0.178392,1,0.75,1,2.5
0.183417,1,0.75,1,2.5
0.188442,1,0.75,1,2.5
0.193467,1,0.75,1,2.5
0.198492,1,0.75,1,2.5
0.203518,1,0.75,1,2.5
0.208543,1,0.75,1,2.5
0.213568,0.999257,0.750879,0.99896,2.49926
0.218593,0.981696,0.771817,0.974469,2.4816
0.223618,0.964384,0.792755,0.950495,2.464
0.228643,0.947316,0.813693,0.927028,2.44646
0.233668,0.930491,0.834631,0.904059,2.42899
0.238693,0.913906,0.855569,0.88158,2.41157
0.243719,0.897558,0.876507,0.859582,2.39422
0.248744,0.881444,0.897445,0.838056,2.37694
0.253769,0.865564,0.918383,0.816993,2.35972
0.258794,0.849912,0.939322,0.796386,2.34255
0.263819,0.834488,0.96026,0.776226,2.32546
0.268844,0.819289,0.981198,0.756506,2.30842
0.273869,0.804312,1.00214,0.737216,2.29145
0.278894,0.789555,1.02307,0.718349,2.27454
0.28392,0.775016,1.04401,0.699898,2.25769
0.288945,0.760691,1.06495,0.681854,2.2409
0.29397,0.746579,1.08589,0.664211,2.22418
0.298995,0.732677,1.10683,0.64696,2.20752
0.30402,0.718983,1.12776,0.630095,2.19092
0.309045,0.705494,1.1487,0.613608,2.17439
0.31407,0.692209,1.16964,0.597492,2.15792
0.319095,0.679125,1.19058,0.581741,2.14151
0.324121,0.666239,1.21152,0.566346,2.12516
0.329146,0.65355,1.23245,0.551303,2.10888
0.334171,0.641054,1.25339,0.536603,2.09266
0.339196,0.628751,1.27433,0.52224,2.0765
0.344221,0.616637,1.29527,0.508208,2.0604
0.349246,0.604711,1.31621,0.4945,2.04437
0.354271,0.592969,1.33714,0.481111,2.0284
0.359296,0.581411,1.35808,0.468034,2.01249
0.364322,0.579867,1.36091,0.466294,2.01035
0.369347,0.579867,1.36091,0.466294,2.01035
0.374372,0.579867,1.36091,0.466294,2.01035
0.379397,0.579867,1.36091,0.466294,2.01035
0.384422,0.579867,1.36091,0.466294,2.01035
0.389447,0.579867,1.36091,0.466294,2.01035
0.394472,0.579867,1.36091,0.466294,2.01035
0.399497,0.579867,1.36091,0.466294,2.01035
0.404523,0.579867,1.36091,0.466294,2.01035
0.409548,0.579867,1.36091,0.466294,2.01035
0.414573,0.579867,1.36091,0.466294,2.01035
0.419598,0.579867,1.36091,0.466294,2.01035
0.424623,0.579867,1.36091,0.466294,2.01035
0.429648,0.579867,1.36091,0.466294,2.01035
0.434673,0.579867,1.36091,0.466294,2.01035
0.439698,0.579867,1.36091,0.466294,2.01035
0.444724,0.579867,1.36091,0.466294,2.01035
0.449749,0.579867,1.36091,0.466294,2.01035
0.454774,0.579867,1.36091,0.466294,2.01035
0.459799,0.579867,1.36091,0.466294,2.01035
0.464824,0.579867,1.36091,0.466294,2.01035
0.469849,0.579867,1.36091,0.466294,2.01035
0.474874,0.579867,1.36091,0.466294,2.01035
0.479899,0.579867,1.36091,0.466294,2.01035
0.484925,0.579867,1.36091,0.466294,2.01035
0.48995,0.579867,1.36091,0.466294,2.01035
0.494975,0.579867,1.36091,0.466294,2.01035
0.5,0.579867,1.36091,0.466294,2.01035
0.505025,0.579867,1.36091,0.466294,2.01035
