time,x,rho,u,P,e
0.0156374,-0.0252525,5.99877,19.5972,460.882,192.073
0.0156374,-0.0151515,5.99877,19.5972,460.882,192.073
0.0156374,-0.00505051,5.99877,19.5972,460.882,192.073
0.0156374,0.00505051,5.99877,19.5972,460.882,192.073
0.0156374,0.0151515,5.99881,19.5973,460.883,192.073
0.0156374,0.0252525,5.99885,19.5973,460.883,192.071
0.0156374,0.0353535,5.99889,19.5973,460.884,192.07
0.0156374,0.0454545,5.99893,19.5973,460.884,192.069
0.0156374,0.0555556,5.99898,19.5973,460.885,192.068
0.0156374,0.0656566,5.999,19.5973,460.885,192.067
0.0156374,0.0757576,5.99908,19.5974,460.886,192.065
0.0156374,0.0858586,5.99909,19.5974,460.886,192.065
0.0156374,0.0959596,5.99917,19.5974,460.888,192.063
0.0156374,0.106061,5.99914,19.5974,460.888,192.064
0.0156374,0.116162,5.99916,19.5974,460.89,192.064
0.0156374,0.126263,5.99913,19.5974,460.889,192.065
0.0156374,0.136364,5.99915,19.5975,460.891,192.065
0.0156374,0.146465,5.99917,19.5975,460.891,192.065
0.0156374,0.156566,5.99918,19.5975,460.892,192.064
0.0156374,0.166667,5.99919,19.5974,460.891,192.064
0.0156374,0.176768,5.99921,19.5974,460.891,192.063
0.0156374,0.186869,5.99919,19.5974,460.89,192.063
0.0156374,0.19697,5.99921,19.5974,460.891,192.063
0.0156374,0.207071,5.99921,19.5974,460.891,192.063
0.0156374,0.217172,5.9992,19.5974,460.891,192.064
0.0156374,0.227273,5.99924,19.5975,460.892,192.063
0.0156374,0.237374,5.99921,19.5975,460.891,192.064
0.0156374,0.247475,5.99922,19.5975,460.892,192.063
0.0156374,0.257576,5.99924,19.5975,460.893,192.063
0.0156374,0.267677,5.9992,19.5975,460.892,192.064
0.0156374,0.277778,5.99926,19.5975,460.894,192.063
0.0156374,0.287879,5.99922,19.5975,460.893,192.064
0.0156374,0.29798,5.99924,19.5975,460.894,192.063
0.0156374,0.308081,5.99924,19.5975,460.894,192.063
0.0156374,0.318182,5.99922,19.5975,460.893,192.064
0.0156374,0.328283,5.99926,19.5975,460.894,192.063
0.0156374,0.338384,5.99921,19.5975,460.893,192.064
0.0156374,0.348485,5.99926,19.5975,460.894,192.063
0.0156374,0.358586,5.99924,19.5975,460.894,192.064
0.0156374,0.368687,5.9992,19.5975,460.892,192.064
0.0156374,0.378788,5.99953,19.5979,460.921,192.065
0.0156374,0.388889,5.99544,19.587,460.499,192.02
0.0156374,0.39899,6.17926,19.552,479.534,194.009
0.0156374,0.409091,7.77754,15.4853,693.525,222.926
0.0156374,0.419192,13.0111,10.6423,1473.69,283.159
0.0156374,0.429293,15.1427,9.39454,1831.23,302.33
0.0156374,0.439394,13.8715,8.01317,1621.51,292.238
0.0156374,0.449495,13.5172,7.63712,1558.61,288.263
0.0156374,0.459596,14.4227,8.44589,1708.83,296.206
0.0156374,0.469697,15.28,9.20467,1860.53,304.408
0.0156374,0.479798,14.8168,8.83811,1795.22,302.902
0.0156374,0.489899,13.6937,7.84415,1616.42,295.105
0.0156374,0.5,14.0353,8.0072,1649.25,293.767
0.0156374,0.510101,15.7812,8.74904,1789.49,283.485
0.0156374,0.520202,16.9608,8.54696,1748.97,257.796
0.0156374,0.530303,18.7444,8.36319,1708.16,227.823
0.0156374,0.540404,23.0308,8.4693,1727.11,187.478
0.0156374,0.550505,27.4238,8.48548,1727.35,157.468
0.0156374,0.560606,30.518,8.46622,1720.13,140.911
0.0156374,0.570707,32.0561,8.45418,1718.27,134.005
0.0156374,0.580808,31.1871,8.24717,1664.13,133.399
0.0156374,0.590909,20.506,4.90805,978.42,119.285
0.0156374,0.60101,7.36816,-4.41294,105.826,35.9065
0.0156374,0.611111,6.01257,-6.18552,46.1268,19.1793
0.0156374,0.621212,5.99237,-6.19634,46.0954,19.2309
0.0156374,0.631313,5.99242,-6.19633,46.095,19.2305
0.0156374,0.641414,5.99242,-6.19633,46.095,19.2305
0.0156374,0.651515,5.99242,-6.19633,46.095,19.2305
0.0156374,0.661616,5.99242,-6.19633,46.095,19.2305
0.0156374,0.671717,5.99242,-6.19633,46.095,19.2305
0.0156374,0.681818,5.99242,-6.19633,46.095,19.2305
0.0156374,0.691919,5.99242,-6.19633,46.095,19.2305
0.0156374,0.70202,5.99242,-6.19633,46.095,19.2305
0.0156374,0.712121,5.99242,-6.19633,46.095,19.2305
0.0156374,0.722222,5.99242,-6.19633,46.095,19.2305
0.0156374,0.732323,5.99242,-6.19633,46.095,19.2305
0.0156374,0.742424,5.99242,-6.19633,46.095,19.2305
0.0156374,0.752525,5.99242,-6.19633,46.095,19.2305
0.0156374,0.762626,5.99242,-6.19633,46.095,19.2305
0.0156374,0.772727,5.99242,-6.19633,46.095,19.2305
0.0156374,0.782828,5.99242,-6.19633,46.095,19.2305
0.0156374,0.792929,5.99242,-6.19633,46.095,19.2305
0.0156374,0.80303,5.99242,-6.19633,46.095,19.2305
0.0156374,0.813131,5.99242,-6.19633,46.095,19.2305
