x,rho,u,P,e
0,5.99924,19.5975,460.894,192.063
0.010101,5.99924,19.5975,460.894,192.063
0.020202,5.99924,19.5975,460.894,192.063
0.030303,5.99924,19.5975,460.894,192.063
0.040404,5.99924,19.5975,460.894,192.063
0.0505051,5.99924,19.5975,460.894,192.063
0.0606061,5.99924,19.5975,460.894,192.063
0.0707071,5.99924,19.5975,460.894,192.063
0.0808081,5.99924,19.5975,460.894,192.063
0.0909091,5.99924,19.5975,460.894,192.063
0.10101,5.99924,19.5975,460.894,192.063
0.111111,5.99924,19.5975,460.894,192.063
0.121212,5.99924,19.5975,460.894,192.063
0.131313,12.5463,11.1967,848.415,169.056
0.141414,12.5463,11.1967,848.415,169.056
0.151515,12.5463,11.1967,848.415,169.056
0.161616,12.5463,11.1967,848.415,169.056
0.171717,12.5463,11.1967,848.415,169.056
0.181818,12.5463,11.1967,848.415,169.056
0.191919,12.5463,11.1967,848.415,169.056
0.20202,12.5463,11.1967,848.415,169.056
0.212121,12.5463,11.1967,848.415,169.056
0.222222,12.5463,11.1967,848.415,169.056
0.232323,12.5463,11.1967,848.415,169.056
0.242424,12.5463,11.1967,848.415,169.056
0.252525,12.5463,11.1967,848.415,169.056
0.262626,12.5463,11.1967,848.415,169.056
0.272727,12.5463,11.1967,848.415,169.056
0.282828,12.5463,11.1967,848.415,169.056
0.292929,12.5463,11.1967,848.415,169.056
0.30303,12.5463,11.1967,848.415,169.056
0.313131,12.5463,11.1967,848.415,169.056
0.323232,12.5463,11.1967,848.415,169.056
0.333333,12.5463,11.1967,848.415,169.056
0.343434,12.5463,11.1967,848.415,169.056
0.353535,12.5463,11.1967,848.415,169.056
0.363636,12.5463,11.1967,848.415,169.056
0.373737,12.5463,11.1967,848.415,169.056
0.383838,12.5463,11.1967,848.415,169.056
0.393939,12.5463,11.1967,848.415,169.056
0.40404,12.5463,11.1967,848.415,169.056
0.414141,12.5463,11.1967,848.415,169.056
0.424242,12.5463,11.1967,848.415,169.056
0.434343,12.5463,11.1967,848.415,169.056
0.444444,12.5463,11.1967,848.415,169.056
0.454545,12.5463,11.1967,848.415,169.056
0.464646,12.5463,11.1967,848.415,169.056
0.474747,12.5463,11.1967,848.415,169.056
0.484848,12.5463,11.1967,848.415,169.056
0.494949,12.5463,11.1967,848.415,169.056
0.505051,12.5463,11.1967,848.415,169.056
0.515152,12.5463,11.1967,848.415,169.056
0.525253,12.5463,11.1967,848.415,169.056
0.535354,12.5463,11.1967,848.415,169.056
0.545455,12.5463,11.1967,848.415,169.056
0.555556,12.5463,11.1967,848.415,169.056
0.565657,12.5463,11.1967,848.415,169.056
0.575758,12.5463,11.1967,848.415,169.056
0.585859,12.5463,11.1967,848.415,169.056
0.59596,12.5463,11.1967,848.415,169.056
0.606061,12.5463,11.1967,848.415,169.056
0.616162,12.5463,11.1967,848.415,169.056
0.626263,12.5463,11.1967,848.415,169.056
0.636364,12.5463,11.1967,848.415,169.056
0.646465,12.5463,11.1967,848.415,169.056
0.656566,12.5463,11.1967,848.415,169.056
0.666667,12.5463,11.1967,848.415,169.056
0.676768,12.5463,11.1967,848.415,169.056
0.686869,12.5463,11.1967,848.415,169.056
0.69697,12.5463,11.1967,848.415,169.056
0.707071,12.5463,11.1967,848.415,169.056
0.717172,12.5463,11.1967,848.415,169.056
0.727273,12.5463,11.1967,848.415,169.056
0.737374,12.5463,11.1967,848.415,169.056
0.747475,12.5463,11.1967,848.415,169.056
0.757576,12.5463,11.1967,848.415,169.056
0.767677,12.5463,11.1967,848.415,169.056
0.777778,12.5463,11.1967,848.415,169.056
0.787879,12.5463,11.1967,848.415,169.056
0.79798,5.99242,-6.19633,46.095,19.2305
0.808081,5.99242,-6.19633,46.095,19.2305
0.818182,5.99242,-6.19633,46.095,19.2305
0.828283,5.99242,-6.19633,46.095,19.2305
0.838384,5.99242,-6.19633,46.095,19.2305
0.848485,5.99242,-6.19633,46.095,19.2305
0.858586,5.99242,-6.19633,46.095,19.2305
0.868687,5.99242,-6.19633,46.095,19.2305
0.878788,5.99242,-6.19633,46.095,19.2305
0.888889,5.99242,-6.19633,46.095,19.2305
0.89899,5.99242,-6.19633,46.095,19.2305
0.909091,5.99242,-6.19633,46.095,19.2305
0.919192,5.99242,-6.19633,46.095,19.2305
0.929293,5.99242,-6.19633,46.095,19.2305
0.939394,5.99242,-6.19633,46.095,19.2305
0.949495,5.99242,-6.19633,46.095,19.2305
0.959596,5.99242,-6.19633,46.095,19.2305
0.969697,5.99242,-6.19633,46.095,19.2305
0.979798,5.99242,-6.19633,46.095,19.2305
0.989899,5.99242,-6.19633,46.095,19.2305
1,5.99242,-6.19633,46.095,19.2305
